,Predictions_prob_1,Predictions_prob_0,text,uncertainty,already_annotated,already_sampled,drawn,speech_par_id,oscar_label,yuchen_label,final_code
132,0.647465763,0.352534237,"As Secretary of State, Hillary Clinton allowed thousands of the most dangerous and violent criminal aliens to go free because their home countries were intelligent, they wouldn't take them back. We bring them to their countries—murderers, drug dealers, gang members, we'd bring them to their countries and their countries would say: get them out, we're not taking them back. They call up the State Department, and the State Department under Hillary Clinton would say: oh, bring them back, we don't want to make waves.",0.294931526,FALSE,NA,uncertainty,2016-11-02-fairgrounds-orlando-florida_55,exclusionary,exclusionary,exclusionary
134,0.891701264,0.108298736,"Or look at cases like the Boston Bombers, here on asylum, or the San Bernardino Shooter, here on a fiancé visa from Saudi Arabia. Or the Orlando shooter, the son of a Taliban supporter from Afghanistan. Terrorists are infiltrating our country.",0.783402527,FALSE,NA,uncertainty,2016-10-03-center-pueblo-colorado_39,exclusionary,exclusionary,exclusionary
139,0.109473091,0.890526909,"Hillary Clinton also wants to push to bring in 620,000 refugees in her first term A large number of whom come from large countries where women and gays are horribly brutalized, which will weaken our tolerant way of life. I only want to bring people to our country who share our values and love our people and are capable of loving America.",0.781053818,FALSE,NA,uncertainty,2016-08-24-coliseum-jackson-mississippi_43,exclusionary,exclusionary,exclusionary
145,0.824194007,0.175805993,She even wants a 550% increase in Syrian refugees. So let me state this as clearly as I can. If I'm elected President I am going to keep Radical Islamic Terrorists out of our country.,0.648388014,FALSE,NA,uncertainty,2016-10-21-center-newtown-pennsylvania_19,exclusionary,exclusionary,exclusionary
157,0.884347471,0.115652529,"I am going to end illegal immigration, stop the massive inflow of refugees, keep jobs from pouring out of our country, renegotiate our disastrous trade deals, and massively reduce taxes and regulations on our workers and our small businesses. Hillary Clinton has been there for 30 years, and hasn't fixed anything. In fact, she's just made things worse – it's been 30 years of failure.",0.768694942,FALSE,NA,uncertainty,2016-10-05-center-reno-nevada_1,exclusionary,exclusionary,exclusionary
158,0.67858458,0.32141542,"And now we're told that a million new immigrants are coming to America. They've been naturalized, and they did it so quickly so they could get them all done before election time, that 10 percent have criminal records, and they've already been naturalized. That is an outrage, Mr. President, and it's your administration.",0.357169159,FALSE,NA,uncertainty,3357_23,exclusionary,exclusionary,exclusionary
161,0.801072047,0.198927953,"By contrast, my opponent wants to increase--which is unbelievable, no matter who you are, where you come from--wants to increase the flow of Syrian refugees by 550% over what they are now. And you know what a disaster this massive immigration has been to Germany and the people of Germany. Crime has risen to levels that no one thought they would ever, ever see. It is a catastrophe. We have enough problems in our country. We don't need more.",0.602144093,FALSE,NA,uncertainty,2016-08-15-university-youngstown-ohio_49,exclusionary,exclusionary,exclusionary
165,0.47535412,0.52464588,"It was also the worst attack on the LGBTQ community in our country's history. Can't let it happen, can't let it happen. Hillary wants to increase by 550 percent Syrian refugees pouring into our country.",0.04929176,FALSE,NA,uncertainty,2016-11-02-fairgrounds-orlando-florida_49,exclusionary,exclusionary,exclusionary
171,0.284082753,0.715917247,"Early voting is underway, so make sure to send in your ballot. Together, we are going to deliver real change that puts America First. We are going to renegotiate our terrible trade deals, end illegal immigration, stop the massive inflow of refugees, reduce surging crime, cut taxes and regulations, unleash job-producing American energy, rebuild our military and take care of our Vets, and repeal and replace the disaster known as Obamacare.",0.431834493,FALSE,NA,uncertainty,2016-10-21-fletcher-north-carolina_1,exclusionary,exclusionary,exclusionary
173,0.829594436,0.170405564,"According to data provided by the Senate Subcommittee on Immigration, and the national interest between 9/11 and the end of 2014, at least 380 foreign born individuals were convicted in terror cases inside the United States. And even right now the largest number of people are under investigation for exactly this that we've ever had in the history of our country. Our country is a mess. We don't even know what to look for anymore, folks. Our country has to straighten out. And we have to straighten out fast.",0.659188872,FALSE,NA,uncertainty,2016-08-31-center-phoenix-arizona_66,exclusionary,exclusionary,exclusionary
175,0.699565629,0.300434371,"We have our people. We have out take care of our people. Have to protect our people so it's got to be a two-way street otherwise it is going to be a whole different deal. But establishes a 2-year mandatory minimum federal prison sentence, there are people coming in illegally, for illegally re-entering the U.S. after a previous deportation, and a 5-year mandatory minimum for illegally re-entering for those with felony convictions, multiple misdemeanor convictions or two or more prior deportations; so when somebody comes in, we send them out. They come back, they go to prison for quite a while. They come back, they come back again they go five years. Because what is happening is they are coming back ten times and I could go cases after case they come back.Look at what happened in San Francisco five times he came back on the fifth time he killed. Five times. But so many others 110 times came back, killed somebody after ten times. When they get deported they stay out otherwise they have very serious prison terms. They will stay out. Once you do that, they will stay out. Right now, they have no consequence. They have no consequence.",0.399131258,FALSE,NA,uncertainty,2016-10-22-eisenhower-complex-gettysburg_50,exclusionary,exclusionary,exclusionary
178,0.200550331,0.799449669,"The terrorists who planted the bombs in New York and Jersey, and who carried out the mall stabbing in Minnesota, were foreign nationals admitted into our country – as was the mall shooter in Washington. Or look at cases like the Boston Bombers, here on asylum, or the San Bernardino Shooter, here on a fiancé visa from Saudi Arabia. Or the Orlando shooter, the son of a Taliban supporter from Afghanistan.",0.598899338,FALSE,NA,uncertainty,2016-10-04-prescott-valley-arizona_35,exclusionary,exclusionary,exclusionary
179,0.11497936,0.88502064,"Now that is the problem of crime.  But, there is also the problem of riots and disorder.  And I know you are distressed and outraged by the riots and disorder in many o four cities.  And so am I.",0.770041279,FALSE,NA,uncertainty,2060_28,exclusionary,exclusionary,exclusionary
186,0.14742594,0.85257406,"Only the out of touch media elites think the biggest problems facing America -- you know this, this is what they talk about, facing American society today is that there are 11 million illegal immigrants who don't have legal status. And, they also think the biggest thing, and you know this, it's not nuclear, and it's not ISIS, it's not Russia, it's not China, it's global warming. To all the politicians, donors, and special interests, hear these words from me and all of you today. There is only one core issue in the immigration debate, and that issue is the well being of the American people.",0.70514812,FALSE,NA,uncertainty,2016-08-31-center-phoenix-arizona_23,exclusionary,exclusionary,exclusionary
190,0.145884637,0.854115363,"Hillary Clinton's plan would bring in an estimated 620,000 refugees in her first term at a lifetime benefit cost of some $400 billion to our country. According to the Senate Immigration Subcommittee. Hillary Clinton wants to be America's Angela Merkel. By the way, for the price of supporting one refugee in the United States, we could support 12 in a safe zone in the Middle East or let's say Syria.",0.708230727,FALSE,NA,uncertainty,2016-08-19-complex-dimondale-michigan_26,exclusionary,exclusionary,exclusionary
197,0.285366237,0.714633763,"The terrorists who planted the bombs in New York and New Jersey, and who carried out the mall stabbing in Minnesota, were foreign nationals admitted into our country – as was the mall shooter in Washington State. The Boston Bombers were here on asylum. The San Bernardino Shooter was here on a fiancé visa from Saudi Arabia. The Orlando shooter was the son of a Taliban supporter from Afghanistan.",0.429267526,FALSE,NA,uncertainty,2016-10-05-center-reno-nevada_24,exclusionary,exclusionary,exclusionary
2,0.583077964,0.416922036,"Right now, 750,000 undocumented young people in America are going to school, working, and planning for their future. They're DREAMers in much more than name. I've met so many. I've listened to their stories. They've done everything we've asked of them and made our country stronger in return.",0.166155928,FALSE,NA,uncertainty,2016-09-15-institute-washington-dc_17,inclusive,inclusive,inclusive
7,0.294340887,0.705659113,"Nor do I call it leadership that looks to the future when the Republicans take the position they do toward our immigration laws. We can argue this question on grounds of justice and compassion--but we can argue it, too, on grounds of the strength of the America that is to be. The Republican candidate promised four years ago to revise the discriminatory McCarran Act. This had not been done. I submit that no party can claim to be the party of the future, if it does not think of the great contribution to our common future that has always been made by the men and women who have come to America from other lands.",0.411318225,FALSE,NA,uncertainty,1352_6,inclusive,inclusive,inclusive
9,0.61742264,0.38257736,"You're the reason that a young immigrant who grew up here and went to school here and pledged allegiance to our flag will no longer be deported from the only country she's ever called home. You're the reason why a selfless soldier won't be kicked out of the military because of who they are or who they love; we ended """"don't ask, don't tell."""" You're the reason why thousands of families have finally been able to say to their loved ones who served us so bravely, """"Welcome home."""" You made that happen.",0.234845279,FALSE,NA,uncertainty,2012-09-13-rally-golden-colorado_55,inclusive,inclusive,inclusive
13,0.846950364,0.153049636,There is still much we don't know about what happened in both incidents. But we do know that we have two more names to add to a list of African Americans killed by police officers in these encounters. It's unbearable. And it needs to become intolerable.,0.693900728,FALSE,NA,uncertainty,2016-09-21-center-orlando-florida_5,inclusive,inclusive,inclusive
18,0.414559739,0.585440261,"I'm asking all Americans to join me in dreaming big and bold things for our future. I'm going to fight for every American, of every background, in every stretch of this nation. I'm going to fight to liberate our citizens from violence and poverty, and crime and fear.",0.170880522,FALSE,NA,uncertainty,2016-10-27-expo-springfield-ohio_54,inclusive,inclusive,inclusive
26,0.768932546,0.231067454,"But in addition to defending DAPA and DACA, there's more we can do. We need a simple, straightforward system where other people with sympathetic cases who are contributing to their communities can make their case and be eligible for deferred action too. Like people who experience and report extreme labor abuses. And we won't stop there. We're going to end family detention, close private detention facilities, and stop the raids and roundups. No child should have to say goodbye to their parents every morning not knowing if their mom or dad will be there when they get home.",0.537865093,FALSE,NA,uncertainty,2016-09-15-institute-washington-dc_15,inclusive,inclusive,inclusive
34,0.749106706,0.250893294,"I'm inspired by Astrid. I met her in Las Vegas last summer. She was brought to this country from Mexico at the age of four with nothing but a doll, a cross, and the dress she was wearing. Now she's in her twenties and advocating for the rights of undocumented Americans and comprehensive immigration reform. We should all join her in this.",0.498213412,FALSE,NA,uncertainty,2016-09-19-university-philadelphia-pennsylvania_15,inclusive,inclusive,inclusive
43,0.637746806,0.362253194,"You're the reason a young immigrant who grew up here and went to school here and pledged allegiance to our flag will no longer be deported from the only country she's ever called home. You're the reason that an outstanding soldier won't be kicked out of the military because of who they are or who they love. You're the reason why thousands of families have finally been able to say to loved ones who served us so bravely, """"Welcome home."""" You're the reason.",0.275493612,FALSE,NA,uncertainty,2012-10-07-los-angeles-california_33,inclusive,inclusive,inclusive
45,0.1341335,0.8658665,"The President. Well, I think if you take a look at the polls, I was winning the Latino vote before we took that action, partly because the other side had completely abandoned their commitment to things like comprehensive immigration reform. But I did this because I met young people all across the country, wonderful kids who sometimes were valedictorians, were—participate in the community, had aspirations to go to college, some who were serving in our military, and if you heard their stories, there's no way that you would think it was fair or just for us to have them suffering under a cloud of deportation.",0.731733,FALSE,NA,uncertainty,2012-09-20-question-and-answer_36,inclusive,inclusive,inclusive
64,0.849968447,0.150031553,You're the reason that thousands of students at CU Boulder and Colorado State and University of Denver have more help paying for college this year. That happened because of you. You're the reason a young immigrant who grew up here and went to school here and pledged allegiance to our flag will no longer be deported from the only country she's ever called home.,0.699936894,FALSE,NA,uncertainty,2012-10-04-campaign-rally-denver_30,inclusive,inclusive,inclusive
71,0.747197848,0.252802152,"So when Donald Trump promises to rip that all away on Day One, when he promises to round up and deport all of the 16 million people living and working among us, including American citizen children who were born here to parents who are undocumented, these are the faces I see. I picture Astrid Silva – who I met in Las Vegas. Many of you know her story: She came to this country from Mexico at the age of four with nothing but a doll, a cross, and the dress she was wearing. Now she's in her 20s, advocating for the rights of everywhere.",0.494395695,FALSE,NA,uncertainty,2016-09-15-institute-washington-dc_18,inclusive,inclusive,inclusive
72,0.763497519,0.236502481,"Now we have learned that the FBI made a side deal with Clinton's top aides to DESTROY their laptops. Hillary Clinton is the ringleader of a criminal enterprise and the only way to deliver justice is to mail in your ballots. We are also going to fix our inner cities, and help Latino Americans",0.526995037,FALSE,NA,uncertainty,2016-10-05-pavilion-henderson-nevada_39,inclusive,inclusive,inclusive
74,0.378885041,0.621114959,"And that brings me to another important family issue. In those first 100 days, I will send a proposal for comprehensive immigration reform to the Congress. My proposal will keep families together, and it will include a path to citizenship. Now, I know this isn't the first time you've heard it. In fact, people have been making the same promise for more than a decade. But I believe with all my heart that some things are too important to give up on. I've been called a lot of things; I've never been called a quitter.",0.242229919,FALSE,NA,uncertainty,2016-09-15-institute-washington-dc_12,inclusive,inclusive,inclusive
75,0.443084591,0.556915409,You're the reason thousands of students at UNLV have more help paying for college this year. You're the reason two grandparents in Reno could refinance their mortgage and keep their piece of the American Dream. You're the reason a young immigrant who grew up here and went to school here and pledged allegiance to our flag will no longer be deported from the only country she's ever known.,0.113830817,FALSE,NA,uncertainty,2012-09-12-vegas-nevada-0_49,inclusive,inclusive,inclusive
83,0.260192672,0.739807328,"What's happened with the Hispanic population in our country is not right. What's happened with the inner cities of our country, the African-American community, the Hispanic community, is very, very unfair. Thank you. Thank you.",0.479614656,FALSE,NA,uncertainty,2016-11-02-amphitheater-miami-florida_65,inclusive,inclusive,inclusive
85,0.885050611,0.114949389,"And we will rebuild our inner cities. The African-American community, the Hispanic community...[applause]...have had such lies told to them. They live -- many, many people living in the inner cities of our country, they're getting worse and worse. The crime is unbelievable. You can't walk to the store and get a loaf of bread. Often you get shot.",0.770101222,FALSE,NA,uncertainty,2016-11-07-raleigh-north-carolina_75,inclusive,inclusive,inclusive
88,0.76134786,0.23865214,You're the reason a young man who'll never—who thought he'd never be able to afford his dreams to go to medical school now is going to have that chance. You made that possible. You're the reason a young immigrant who grew up here and went to school here and pledged allegiance to our flag will no longer be deported from the only country she's ever called home.,0.522695721,FALSE,NA,uncertainty,2012-10-18-manchester-new-hampshire_66,inclusive,inclusive,inclusive
89,0.821545801,0.178454199,"That's why I'll fight to add another 50,000 new police. Community police. Prevention. Community police who help prevent crime by establishing real relationships between law enforcement and neighborhood residents. Which, incidentally, is the opposite of racial profiling, which must be brought to an end throughout the criminal justice system.",0.643091602,FALSE,NA,uncertainty,2000-08-17-national-convention-los_67,inclusive,inclusive,inclusive
98,0.000244799,0.999755201,"One other point I make with regard to standing still: what about civil rights? I have been asked. Well, all I can say is this--and, Bill, you, as a man, Senator Knowland, and Senator Kuchel, have steered through in the Senate some of these great bills. Let me say that in this field of civil rights we have had more progress in our eight years than we have had in the previous eighty years. They talk and we act, and the American people know that.",0.999510402,FALSE,FALSE,random,1878_10,inclusive,inclusive,inclusive
99,0.605507897,0.394492103,"Now, let me tell you what I think about it.  I think that every American, black or white, young or old, is entitled to the full protection of the law and to equal rights of the law, and equal enforcement of the law, and equal opportunity under the law.  Now, that is law and order. ",0.211015793,FALSE,NA,uncertainty,2104_11,inclusive,inclusive,inclusive
104,0.778232857,0.221767143,"You're the reason why a young immigrant who grew up here and went to school here and pledged allegiance to our flag will no longer be deported from the only country she's ever called home. You're the reason why an outstanding soldier won't be kicked out of the military just because of who he loved. You're the reason why thousands of families have been able to say to the loved ones who served us so bravely, """"Welcome home."""" Welcome home. Welcome home. You made that happen.",0.556465714,FALSE,NA,uncertainty,2012-09-30-vegas-nevada-1_46,inclusive,inclusive,inclusive
113,0.829283218,0.170716782,"The Democrats, like Hillary Clinton, have run the inner cities for 50 years, six years, seventy years or more. They've produced only more joblessness, failing schools, and rising crime. They've horribly failed and abused our African-American and Latino communities.",0.658566436,FALSE,NA,uncertainty,2016-10-04-prescott-valley-arizona_43,inclusive,inclusive,inclusive
120,0.000257612,0.999742388,"Mayor Robert Youker, distinguished guests, citizens of Texas: on my own behalf, on behalf of Ambassador Bush, and in the name of our families, I express to you my deepest appreciation for your resolution of welcome, and for this opportunity to address you on a day of honor for every American of Mexican descent. One hundred seventy years ago today, in the village of Dolores, Mexico, a brave Mexican priest, Miguel Hidalgo y Costilla rang the bells of the village church to announce the Mexican people's desire for freedom. He did not live to see his victory. But the sound of those ringing bells is, today, in the hearts of all those who love and desire freedom, all over the world.",0.999484775,FALSE,FALSE,random,2649_0,inclusive,inclusive,inclusive
127,0.157244452,0.842755548,"No one group in this country is better than another. No one race or religion or sex or color is better than another. And no region is better or worse than another. It's time we erased the last vestiges of intolerance, bigotry, and unkindness from our hearts. Decency demands this and so does our history.",0.685511097,FALSE,NA,uncertainty,2776_27,inclusive,inclusive,inclusive
128,0.71795916,0.28204084,"That's one reason why I care so much about supporting working parents. It's one reason why I'm such a strong supporter of comprehensive immigration reform. Because bringing millions of undocumented workers into the formal economy will decrease abuse and exploitation, and it will increase our economic breath and our tax base. It is estimated if we did this, despite what you hear from the other side, we would increase our gross domestic product by an estimated $700 billion in 10 years. Now, we need that.",0.435918319,FALSE,NA,uncertainty,2016-09-21-center-orlando-florida_13,inclusive,inclusive,inclusive
135,0.000200478,0.999799522,"Italian Americans have made their marks in many different areas, but they have all shared at least one common quality, uncommon pride--pride in their country, pride in themselves, pride in the roles they played in making America what it is. In every century and in every field of endeavor, Italian Americans have given their country their energy, their talents, and their devotion and their blood. When the earthquake struck Italy earlier this year, the American response was swift and bipartisan. Just this morning, Jeno Paulucci and Ambassador John Volpe reported to me on the way our $25 million of disaster relief assistance is being spent to relieve suffering in the country which has given America so much. I congratulate Jeno for his observations and recommendations, which included not only his views as to how our program was being administered but his very constructive recommendation that you needed something more than government to just do the job; his proposal that Italian industry contribute in this situation--as it has through his leadership in Minnesota in alleviating some of the problems and making some progress in that state.",0.999599043,FALSE,FALSE,random,2429_2,inclusive,inclusive,inclusive
146,0.36892359,0.63107641,"You're the reason there's a young teacher in Boone, who has a little more time to pay back her college loans so that she can start her life doing what she loves without being buried by debt. You made that possible. You're the reason a young immigrant, who grew up here and went to school here and pledged allegiance to our flag, will no longer be deported from the only country she's ever called home.",0.26215282,FALSE,NA,uncertainty,2012-09-07-iowa-city-iowa_45,inclusive,inclusive,inclusive
151,0.659352731,0.340647269,"Now, there are some out there who see this as a moment to command the flames of resentment and division. Who want to exploit people's fears, even though it means tearing our nation even further apart. They say that all of our problems will be solved simply by more 'law and order.' As if the systemic racism plaguing our country doesn't exist. Now, of course we need safe neighborhoods, no one is against that. Of course, we need communities that are free from the epidemic of gun violence, of course we need that. But we also need justice and dignity and equality, and we can have both. This is not an either-or question for America.",0.318705463,FALSE,NA,uncertainty,2016-10-02-charlotte-north-carolina_16,inclusive,inclusive,inclusive
153,0.148450459,0.851549541,"This election is about the 12 million people living in the shadows, the communities taking immigration enforcement into their own handsÂ…they're counting on us to stop the hateful rhetoric filling our airwaves, rise above the fear and demagoguery, and finally enact comprehensive immigration reform. Now, I know Senator McCain used to buck his party by fighting for comprehensive reform - and I admired him for it. But when he was running for his party's nomination, he abandoned his stance, and said he wouldn't even support his own legislation if it came up for a vote. And when it came time to write his party's platform, comprehensive reform never made it in. So you've got to ask yourself: if Senator McCain won't stand up to opponents of reform at his own convention, how can you trust him to stand up for change in Washington?",0.703099081,FALSE,NA,uncertainty,2008-09-10-gala-washington-dc_12,inclusive,inclusive,inclusive
164,0.572897313,0.427102687,"And I'm going to make it my personal mission to bring opportunity, safety and prosperity to our very, very troubled inner cities. The Democratic Party has failed and betrayed the African-American community. Democratic crime policies, education policies and economic policies have produced only more crime, more broken homes and more poverty than we've ever had in those communities before.",0.145794625,FALSE,NA,uncertainty,2016-08-24-coliseum-jackson-mississippi_49,inclusive,inclusive,inclusive
167,0.291099677,0.708900323,"You're the reason some young person out there is going to be able to go to medical school, because now they can actually afford it. You made that possible. You're the reason that a young immigrant, who grew up here and went to school here and pledged allegiance to our flag, is not suddenly going to be deported from the only home they've ever known.",0.417800647,FALSE,NA,uncertainty,2012-09-07-portsmouth-new-hampshire_51,inclusive,inclusive,inclusive
176,0.516636572,0.483363428,And he's not. So you live in the inner cities. You're African-American. You're Hispanic. The schools are no good. There are no jobs. And it's totally unsafe. And I say I will fix it. What the hell do you have to lose? I'm going to fix it.,0.033273144,FALSE,NA,uncertainty,2016-11-07-raleigh-north-carolina_77,inclusive,inclusive,inclusive
193,0.621769192,0.378230808,"You're the reason that there are young immigrants all across this State who grew up here and went to school here and pledged allegiance to our flag, and they don't have to fear now that they're going to be deported from the only country they call home. You made that happen. You ended """"don't ask, don't tell."""" You allowed us to bring our troops home so their families could greet them and say, """"Welcome home."""" You did that.",0.243538384,FALSE,NA,uncertainty,2012-10-11-2012-fundraiser-miami_39,inclusive,inclusive,inclusive
196,0.67814382,0.32185618,"My plan lowers our business tax from 35 percent to 15 percent. We are also going to rebuild our inner cities. African-Americans and Hispanics living in the inner cities are suffering. The violence is unbearable. You walk to the store with your child and you get shot. There is no education, there are no jobs, there is no safety.",0.356287641,FALSE,NA,uncertainty,2016-10-21-center-newtown-pennsylvania_14,inclusive,inclusive,inclusive
1,0.857127569,0.142872431,"And in accordance with our comprehensive plan and our Southwest border campaign plan, I will designate a Southwest border counter-drug task force trained, equipped, and ready for counter-drug action. And other such designated task forces will be created as necessary. Moreover, we will create other dedicated counter-drug units which will optimize the skills, languages, computers, banking, and more our citizen-soldiers offer. Such units could clear up the translation and intelligence analysis backlogs and use their skills to follow drug money in the American and international finance systems, to go after front businesses and dummy corporations and every kind of money laundering.",0.714255137,FALSE,NA,uncertainty,3302_30,neither,neither,neither
3,0.00018382,0.99981618,"Now, what is the truth?  Well, I have been in Russia, I have seen what they have, and anybody who thinks that Mr. Khrushchev is going to catch up with us in seven or seventy years is just talking through the top of his hat, or his umbrella, whichever you want to say.  I have seen this system, and I say, that free men can always outproduce those who are driven as slaves, and we will do it in America.  We're doing it today, and we will continue to do it.  And you ask about prestige.  What do our opponents think?  Do they think that Mr. Khrushchev gains prestige for the Communists when he takes off his shoe at the United Nations and pounds the table with it?",0.99963236,FALSE,FALSE,random,1825_6,neither,neither,neither
10,0.000196624,0.999803376,"One of the most exciting things is that we've opened up a billion new customers in the last few months to American supply of goods and friendship, in the sharing of strategic responsibilities in the eastern part of Asia and the western part of the Pacific, with China. And all of your lives will be improved because of this brand new billion addition among our friends. The last thing is that I see a future of peace. We've been successful the last three-and-a-half years at keeping our nation at peace. I've not been required and have not decided to send a single soldier into combat. Very few presidents in the last--none in the last fifty years, by the way, can make that same statement. And I pray to God that I'll go out of office, hopefully at the end of five more years, still with our nation at peace.",0.999606751,FALSE,FALSE,random,2566_8,neither,neither,neither
11,0.000203461,0.999796539,"So this election, I would say finally, is about choosing an administration you can trust to fight a real war on drugs; a real war on drugs. And I spoke to the young people last night in my closing statement: this is your future. You're going to live most of it in the next century. Many of the rest will be gone, but you'll be here. And if there's going to be a future for Americans, if there's going to be a future for you, and I know more and more experimenting with drugs. You've got to say: """"Just don't do it.""""",0.999593079,FALSE,FALSE,random,3327_19,neither,neither,neither
12,0.000167302,0.999832698,"Now the decision is up to you. I'll do all I can. I've made seven or eight speeches today. I'll make a lot of them tomorrow. We're going to Chicago and to Detroit and to Philadelphia and other places. But really the thing is in your hands. I've done all I could. And I'd like to ask all of you tonight when you leave here and everybody listening to my voice to make a sacrificial effort the next few days, to do much more than you ever thought you would do, to contact as many people as will listen to your voice, and remember the great issues at stake, because what we are doing here is shaping the future of your families and the future of people that you care about.",0.999665396,FALSE,FALSE,random,2629_30,neither,neither,neither
15,0.252678111,0.747321889,"Good morning. Today I want to talk about what we must do to stand up for the rights and interests of crime victims as we work to combat crime. I'm announcing a major new effort to help the victims of crime, especially those who are the victims of gang violence.",0.494643779,FALSE,NA,uncertainty,3273_0,neither,neither,neither
20,0.00020688,0.99979312,"So, this is a pretty clear choice, North Carolina. I've said many times in this campaign that Donald Trump has showed us who he is. Now we have to decide who we are. Right?",0.99958624,FALSE,FALSE,random,2016-11-03-winterville-north-carolina_33,neither,neither,neither
22,0.00020371,0.99979629,"As you know, Richard Nixon vetoed comprehensive childcare services and President Ford has equivocated on the issue. He vetoed one bill and signed another very weak bill because it is an election year. These Republican presidents failed to realize that adequate child-care services are just as essential to the children of mothers who work as food, shelter, and clothing. I chose as my running mate Fritz Mondale. You know what his position has been. I'm proud of him. He's my friend, we are partners, and we will work together with you.",0.99959258,FALSE,FALSE,random,2383_13,neither,neither,neither
25,0.811231473,0.188768527,"The program I'm announcing today is to combat drugs and combat violent crime. Now, some may think they're two separate issues. They're not. They're not separate. The simple fact is that drug abuse, particularly among young people, leads to more criminal activity, and that criminal activity leads to violent crime. This is the crime pipeline.",0.622462947,FALSE,NA,uncertainty,3312_30,neither,neither,neither
28,0.000169422,0.999830578,"Let me just say for a few moments, this is a very important election. And I know everybody gets frustrated. I even get frustrated, and I'm the most optimistic man in America. I wonder sometimes what people are thinking about, or if people are thinking at all, if they've really watched this administration, watched what's happened in the White House, watched what's happened in some of their policies, watched what happens when the President tells you one thing and does precisely the other, time after time after time. Something's wrong in America.",0.999661155,FALSE,FALSE,random,3353_7,neither,neither,neither
29,0.830144623,0.169855377,"But victory requires a continued, clear, and predictable policy. It requires real reverence for the law. I know that I can count on you and millions of others--millions and millions of law-abiding Americans--who believe with you and me, with us, that by fighting crime we are building freedom for all Americans.",0.660289245,FALSE,NA,uncertainty,2443_23,neither,neither,neither
30,0.160840129,0.839159871,"And you don't hear much about this good news, because the media also tends to focus only on the bad. And when the Berlin Wall fell, I half expected to see a headline: """"Wall Falls, Three Border Guards Lose Jobs."""" And underneath it probably says: """"Clinton Blames Bush.""""",0.678319742,FALSE,NA,uncertainty,3064_23,neither,neither,neither
31,0.00019748,0.99980252,"In my acceptance speech in Chicago and across America I have called upon Congress to take the next steps. And yesterday congressional leaders answered this call in two very important ways. First, Congress agreed to tell insurance companies, newborns and their mothers deserve at least forty-eight hours in the hospital.",0.999605041,FALSE,FALSE,random,3223_1,neither,neither,neither
32,0.000297743,0.999702257,"You have taken an oath to stand by America in times of crisis, war, and emergency. You're fulfilling that oath in many ways. Across the State of Florida—I happen to know the Commander in Chief of the Guard there—[laughter]—thousands of Guard members have mobilized in response to Hurricanes Charley and Frances. They are helping to control traffic, provide security, conduct search and rescue operations, and distribute food and water. One resident of Punta Gorda, Florida, put it, """"I don't know what this town would have done without the National Guard."""" When tragedy strikes, Americans can always count on the Guard.",0.999404513,FALSE,FALSE,random,2004-09-14-states-las-vegas_5,neither,neither,neither
33,0.123917114,0.876082886,And I personally don't believe that people who commit acts of domestic violence against their spouse or their children should be able to get guns either. That is a dangerous thing. We should not do that.,0.752165772,FALSE,NA,uncertainty,3192_18,neither,neither,neither
36,0.000175265,0.999824735,"For four solid years, there hasn't been a principal administrative meeting among the heads of government that he has not attended as an active participant.  He has gone, on behalf of the United States, to many foreign countries on many trips.  And in every country that he has visited, the reports have been that the United States has gained many additional friends.",0.999649471,FALSE,FALSE,random,1396_2,neither,neither,neither
38,0.426572125,0.573427875,"I think we are all safer when everyone has respect for the law, and everyone is respected by the law. And it's not all, we are going to take common sense steps to reduce gun violence and save lives, because right now, we've got too many people who should not have excess to weapons: the mentally ill, felons, domestic abusers, terrorists. You know, we can't just bow down and say theres nothing we can do, commensurate with the second amendment. Donald's always trying to say """"oh, you know, she's going to repeal the second amendment."""" What nonsense. Absolute nonsense. But I believe we can respect and honor the second amendment, and keep people safer by keeping guns out of the wrong hands.",0.14685575,FALSE,NA,uncertainty,2016-11-03-winterville-north-carolina_40,neither,neither,neither
39,0.83504351,0.16495649,We have endless wars. Every community's hopes and dreams have been shattered and we're not going to let that happen. Our inner cities are going to come back and they're going to come back strong and your going to see what I mean.,0.670087021,FALSE,NA,uncertainty,2016-11-02-fairgrounds-orlando-florida_8,neither,neither,neither
41,0.000189424,0.999810576,"The President. Vote. Or we can decide that in the United States of America, no child should have her dream deferred just because of an overcrowded classroom. No family should have to set aside a college acceptance letter because they don't have the money. No company should have to relocate to China because they couldn't find the workers they need right here in the United States of America.",0.999621152,FALSE,FALSE,random,2012-09-27-virginia-beach-virginia_33,neither,neither,neither
44,0.546313778,0.453686222,"I know it's a tough call for some, but I believe that the death penalty is a fair and just punishment for crimes of extraordinary cruelty and violence, particularly involving the death of police officers. My opponent does not. I would like for our children to have the right to say a voluntary prayer or observe a moment of silence in the schools. My opponent disagrees.",0.092627556,FALSE,NA,uncertainty,2985_7,neither,neither,neither
47,0.506763035,0.493236965,"I said recently and I will say again that I find myself haunted by the lives being lived by the children of our inner cities. Children growing up, some of them, in a loveless environment, growing up amidst horror and violence. What will become of them?",0.013526069,FALSE,NA,uncertainty,2963_24,neither,neither,neither
