,Unnamed: 0,Speech_id,par_id,text,party,term,comp,label,drawn,high_pride_yl,low_pride_yl,auth_yl,high_pride_bb,low_pride_bb,auth_bb,disagree
41,41,2743,6,This election is not about sending a teacher into space.  It's about educating our children right here on earth. This election is not about train rides and whistle stops.  It's about the ninety-thousand profitable corporations in America who don't pay a penny in taxes.,dem,1984,TRUE,not populist,randomly,0,0,0,0,0,0,0
43,43,2733,24,"Do you really believe there are winners in a nuclear war? Now, some people have declared this election over. They've announced a Republican landslide. In other words, they're telling you, your vote won't count. Your voice doesn't matter. This crowd doesn't want you to think about the stakes in this contest. They want to trivialize it.",dem,1984,TRUE,populist,randomly,0,0,0,0,0,0,0
44,44,2831,33,"Well, all right. I know you're all ready for this great new era of opportunity. And this may gall our opponents--the train's getting ready to whistle, and I have to move on to the next stop before darkness catches us...",rep,1984,FALSE,not populist,randomly,0,0,0,0,0,0,0
46,46,1412,1,"We are also deeply grateful that so many Americans have signed their names that they are determined to do their duty this fall in determining the course of America, and are going to get their friends to do the same. I cannot remember any birthday that has been quite so deeply meaningful to me as this one. I thank all of you--Mr. Percy and Miss Dunne particularly for being the chairmen of this great evening.",rep,1956,TRUE,not populist,randomly,0,0,0,0,0,0,0
47,47,3127,3,"Now, when we sit down to debate, and I hope the governor will take a stand to agree to them, we should discuss the most important question: What kind of America do we want for the young people here today? Because of your sacrifice, because of your commitment, we have helped reduce the fear of nuclear annihilation. Today, our kids can dream the sweet dreams of peace without fear of nuclear war. And I am proud that that happened when I have been president of the United States. You listen to Governor Clinton, you might think national security of this country and foreign affairs are not important. They are. We've changed the world. ",rep,1992,FALSE,not populist,randomly,1,0,0,1,0,0,0
48,48,3046,23,"You think about it. Look at what they're doing in their campaign. Every day Mr. Bush goes out and just creates another fairy tale. He pulls out his pocketbook, his wallet, and says, """"You'd better watch your pocketbook if you vote for Clinton."""" Now, remember, folks, remember, Bush increased spending by more than any president in over two decades. Bush asked Congress to spend more money than it did. He tried to outspend Congress. Can you believe that? Bush increased regulation by more than any president in two decades. My state has the second-lowest tax burden and the highest job-growth rate in America, and I'm the only person to ever balance a government budget. I'll tell you who's going to pick your pocket--George Bush. He did it once, and if you give him another chance, he'll do it again. But you know, we're not buying it this time. No more! No more! No more.",dem,1992,FALSE,not populist,randomly,0,0,0,0,0,0,0
50,50,2834,41,"REAGAN. Yes, helping students. Q. Okay.",rep,1984,TRUE,not populist,randomly,0,0,0,0,0,0,0
51,51,2976,4,"Mikhail Gorbachev has shown that he is a different Soviet leader, able to abandon aggressive policies when the price is too high. I've pointed out, however, that the price is determined by more than Moscow's economic dilemmas. The Red Army is leaving Afghanistan because the Mujahedeen, with our support, resisted aggression. The Soviets agreed to destroy their SS-20s menacing Europe when we and NATO defied their threats and deployed our Pershings and Cruises. And that led to the first treaty eliminating an entire class of nuclear missiles.",rep,1988,FALSE,not populist,randomly,0,0,0,0,0,0,0
52,52,2012-11-04-concord-new-hampshire,40,"And, New Hampshire, I'm here today because I'm not ready to give up on the fight. I know I look a little older, but I've got a lot of fight left in me. I am not ready to give up on the fight, and I hope you aren't either, New Hampshire. I hope you aren't, either.",dem,2012,FALSE,not populist,randomly,0,0,0,0,0,0,0
53,53,1270,17,"We must call upon the best minds of our nations to sit down with political and economic leaders of other nations to find solutions to the crucial problems of international economic policy.  I believe that the wrecking of the London Economic Conference of 1933 was one of the great, though little understood, tragedies of our modern world.  We must make a fresh start.",rep,1952,FALSE,not populist,randomly,0,0,0,0,0,0,0
55,55,2012-09-20-question-and-answer,79,"The President. Well, we've released almost all of them. The ones that we don't release typically relate to internal communications that were not related to the actual Fast and Furious operation.",dem,2012,FALSE,not populist,randomly,0,0,0,0,0,0,0
56,56,2004-11-01-dallas-texas-1,1,"Ten years ago when I first ran for Governor, I had my last campaign rally in Dallas, and we won. Tonight, after six other stops, I'm having my last campaign rally in Dallas, and we're going to win. I appreciate all your help and all your hard work. And I've got a pretty good feeling that Texas is going to be a red State tomorrow. You're going to start a trend.",rep,2004,TRUE,not populist,randomly,0,0,0,0,0,0,0
58,58,2004-09-04-remarks-erie-pennsylvania,21,"In changing times, we've got to make sure health care is available and affordable. Most of the uninsured in America—about 50 percent of the uninsured are small-business employees. These small businesses are having trouble affording health care. In the new term, we must allow small businesses to join together to purchase insurance at the discounts that big companies are able to get.",rep,2004,FALSE,not populist,randomly,0,0,0,0,0,0,0
59,59,2614,10,"This issue is the most important single issue in the campaign this year. Inflation is important. Unemployment is important. The progress of our nation economically is important. Education is important. But the most important single issue is the control of nuclear weapons. Every president since Harry Truman has worked under the most difficult circumstances to negotiate with the Soviet Union balanced, controlled, observable agreements to limit atomic weapons with the hope of reducing those weapons in the future.",dem,1980,FALSE,not populist,randomly,0,0,0,0,0,0,0
60,60,2505,19,"Q. This may seem like a broadcaster question, but it's really a public interest one in a way, and I know you're a sports fan. We've had a recent example here of where Home Box Office, a pay cable organization, was able to outbid local stations or an interested network in the NIT tournaments. And in a very short period of time it's estimated--perhaps in two or three years--pay cable is going to be able, due to its affluence and income, to outbid networks and local stations for much of the top and choice programming, including sports. And I'd like to ask you what your view is on the siphoning of free broadcast programming to pay cable?",rep,1976,FALSE,not populist,randomly,0,0,0,0,0,0,0
61,61,1870,1,"In fact, when I saw the tremendous crowd at the airport, I didn't believe there could be anybody down here at the rally, and, as I look around me and see all the Nixon girls on the right and the left, as I see this great throng here, as we saw the people as we came in waiting for us on the streets, it really moved us and touched our hearts, and we want you to know how much we appreciate what I understand is a good old-fashioned welcome.  I was delighted, too, prior to the time of coming on the stage, to hear you welcome enthusiastically my colleagues who are candidates on my party's ticket in this state. I particularly want to mention my friend, John Tower. You know, I have a pretty good deal of experience in seeing candidates, and I've seen a lot of candidates for the Senate around the country, Democrat and Republican. I will say that there is no candidate that I have seen who, from the standpoint of experience, background, and courage, is more qualified to be a U.S. senator from Texas than John Tower. And I use that word """"courage"""" advisedly. He's willing to run for one office alone. He doesn't ask for two. ",rep,1960,TRUE,not populist,randomly,0,0,0,0,0,0,0
62,62,2330,7,"Another reason this spending ceiling is needed is to enable us to fulfill our firm commitment to provide relief from property taxes.  When property tax relief comes, and it will come if the Congress cooperates with me now on harnessing runaway spending, the first to receive relief will be those who most need it. Today there are more than 1 million retired Americans over sixty-five.  They live in their own homes with an income of less than $2,000 a year.  They pay an average from $300 to $700 of that $2,000 in property taxes.  To allow that to happen to Americans who have worked all their lives to build this great country and to earn their retirement is a national disgrace.",rep,1972,TRUE,not populist,randomly,0,0,0,0,0,0,0
63,63,1039,6,"I am frank to say we have had very little cooperation from some of the veteran's posts. They are awful keen about this law enforcement, but they continue to use all these devices in their own posts. So it is a little incongruous. They say, """"By gosh, we are going to clean up crime in this community and get those slot machines out of that corner saloon. But of course, as far as our Legion Post, or VFW, or whatever it is, that belongs to us and it is certainly a different situation. And after all, the device is set to give the fellow at least a sixty to a hundred chance of winning as against one chance in a hundred in the commercial device; and, after all, we own the machine, and it is not owned by a syndicate of operators and placed on a rental basis."""" And so on and so on.",dem,1952,FALSE,not populist,randomly,0,0,0,0,0,0,0
64,64,2004-10-15-remarks-oshkosh-wisconsin,71,"Listen, I'll continue to build strong alliances during the next 4 years. Today, when I was flying in from out west, I had a good visit with Tony Blair, our strong ally. Alliances are important. Coalitions are important. But I will never turn over America's national security decisions to leaders of other countries.",rep,2004,FALSE,not populist,randomly,0,0,0,0,0,0,0
65,65,3243,8,"For me, it's this: I want us to take advantage of these changes so that the American Dream will be alive and well for everyone who is willing to work for it. I want us to be a country that is coming together, respecting our diversity and clinging to our shared values instead of being torn apart by our differences, as so many countries all around the world are. Now, who would have thought fifteen or twenty years ago at the height of the Cold War we could ever see the threat of communism fade from the world, that we would see the ugly rise of old racial and ethnic and religious hatreds consuming people all around the globe. We can beat that rap here and we're determined to do it, and I think we will do it.",dem,1996,FALSE,not populist,randomly,0,0,0,0,0,0,0
66,66,1092,20,"I started my troop duty in the days when we were digging trenches along the Mexican border.  In those days, war traveled no faster than a horse's jog.  I ended my last tour with troops in May of this year.  By then, the pace of war had stepped up to the speed of the jet plane and the impact of the atomic bomb.",rep,1952,FALSE,not populist,randomly,0,0,0,0,0,0,0
68,68,3223,5,"I repeatedly urged Congress to take these steps, and now I urge them to finish their work as quickly as possible. When I have the bill to guarantee forty-eight hours in the hospital for new mothers and their babies, and to stop insurance discrimination against the mentally ill, I will sign it with enthusiasm. Of course, we still have more to do. No child should ever be put at risk in America because a parent has lost his or her job, and the health care that goes with it. We must make sure that people continue to have health care coverage when they're between jobs and looking for a new job. My balanced budget includes these reforms, along with expanded coverage under Medicare for mammograms and respite care for families who have Alzheimer's victims.",dem,1996,TRUE,not populist,randomly,0,0,0,0,0,0,0
69,69,928,11,"But, my friends, the building of free-world strength does more than just restrain Soviet aggression. Its effect is to make the free world itself--both because of its freedom and because of its strength--a potent counter-attraction to Soviet power. And the emergence of this world, united, powerful, friendly and free, will exert an ever-increasing influence on the captive states within the Soviet Empire. ",dem,1952,FALSE,not populist,randomly,0,0,0,0,0,0,0
70,70,2554,22,"And I see an America where young people don't have to worry about employment. I don't know of anything that's more devastating to a nation than to have a seventeen- or an eighteen- or a nineteen- or a twenty-year-old young person, having struggled through high school, sometimes at great sacrifice to the family, having been given talent and ability and ambition and hope by God, week after week after week not be able to find a way to use their talent or that ability--becomes a matter of loss of self-respect and then following that, discouragement and despair and then alienation and then a sense of lashing out at the system that deprived that young person of a chance to be useful in God's world. We've got to continue that effort, and that is still a question in doubt. We have a youth bill in the Congress right now, a $2 billion youth bill to create that kind of opportunity for many of our young people.",dem,1980,FALSE,not populist,randomly,0,0,0,0,0,0,0
71,71,955,8,"House Republicans voted against the original Agricultural Adjustment Act nearly two to one. They voted against the Soil Conservation and Domestic Allotment Act three to one. They voted against the Triple-A, which is still our basic price support legislation, five to one.",dem,1952,TRUE,not populist,randomly,0,0,0,0,0,0,0
72,72,2012-09-27-virginia-beach-virginia,5,"So you know you're in campaign season, and I approve this message. And I've got to tell you, the reason is, in the coming weeks, you're going to have a very big choice to make. I mean, Jim could not have been more eloquent about what's at stake. This is not just a choice between two candidates or two parties, it's a choice between two fundamentally different visions about how we move forward, two different ideas about our future.",dem,2012,FALSE,not populist,randomly,0,0,0,0,0,0,0
73,73,2004-09-07-discussion-sedalia-missouri,197,"Q. My question is, why are the French so ungrateful for what all we have done for that nation, especially in the past? The President. The who?",rep,2004,TRUE,not populist,randomly,0,0,0,0,0,0,0
74,74,2004-09-16-st-cloud-minnesota,44,"Saddam Hussein ignored the demands of the free world again, as he had for over a decade. He wasn't interested in what the free world had to say. As a matter of fact, he systematically deceived inspectors that were sent into his country. So I have a choice to make at this point in time, diplomacy isn't working. Do I forget the lessons of September the 11th and trust a madman, or do I take action to defend this country? Given that choice, I will defend America every time.",rep,2004,FALSE,not populist,randomly,0,0,0,0,0,0,0
75,75,2608,23,"That's what the Democratic party has done for you now and in the past. And the Democratic party, with your help when we whip the Republicans on November the 4th, you're going to have a better life for this country in the future. Thank you very much. Go to work. God bless you all.",dem,1980,TRUE,not populist,randomly,0,0,0,0,0,0,0
76,76,1891,3,"For the American people, this year is a year of great decision. For the forty-fifth time since our great republic was born, these free people will freely decide the direction that they want America to move. Whatever our allegiance politically, whatever our interests privately, whatever our concerns personally, we must not let our year of decision become our year of division.",dem,1964,FALSE,not populist,randomly,0,0,0,0,0,0,0
77,77,2016-09-27-raleigh-north-carolina,36,"So remember, here in North Carolina, starting on October 20th, you can register and vote early at the same time at any one-stop early voting site in your county. And remember, it's not just the presidential race. It's the governor's race, the lieutenant governor's race, the U.S. Senate race, and other races up and down the ticket. Because we want to prove who we are as Americans in this election. We're not fearful. We don't want to build walls. We want to build bridges. We don't want to turn against each other. We want to work with one another. We want to set big goals again here in our country.",dem,2016,FALSE,not populist,randomly,0,0,0,0,0,0,0
78,78,2877,21,"But my opponent, as a senator, personally led the fight against having a shuttle program at all. He called it a horrible waste. Well, we support the space shuttle, and we've committed America to meet a great challenge--to build a manned space center out in space and to do it within a decade. What this country needs is high tech, not high taxes.",rep,1984,TRUE,not populist,randomly,0,0,0,0,0,0,0
79,79,1188,9,"I do not propose to talk tonight as if the American people had not lived through a great depression.  Its causes were many, and its costs in human distress were terrible. It is our pledge that the full power of government and every national resource will be devoted to seeing that it shall never again happen in America.",rep,1952,TRUE,not populist,randomly,0,0,0,0,0,0,0
80,80,3291,0,"Thank you. Thank you very much. I feel good today, do you? Thank you. Reverend Washington; Presiding Elder Reverend Andrews; Governor Chiles; Congressman and Mrs. Gibbons. Our fine congressional candidate, Jim Davis, welcome, sir. We're proud of you. To my other friends who have joined us in this church today, and to all of you, thank you for making us feel so welcome here in the house of the Lord.",dem,1996,FALSE,not populist,randomly,0,0,0,0,0,0,0
81,81,3312,23,"Today, sadly, tragically for too many American families, our government is not fulfilling that role. And I am here to talk to you about what has gone wrong and how we can fix it. What works in combating crime is no mystery. It begins with the understanding that the cause of crime can be explained with one simple word--criminals. Criminals. Criminals.",rep,1996,FALSE,not populist,randomly,0,0,0,0,0,0,0
82,82,3179,31,"And so I ask you to imagine this. If you go in there, think about it when you go to the booth: Suppose there's a crisis here, domestically, some serious interruption, some crisis--or abroad. The question is: Who has the character and the trust to lead the United States of America? You cannot have a troubling pattern of deception in that Oval Office. It is too special. It is too trusted in itself by people around the world.",rep,1992,FALSE,not populist,randomly,0,0,0,0,0,0,0
84,84,2169,27,"First, we will take the following positive, immediate steps by executive order and other appropriate action. Establish a cabinet-level council, the National Law Enforcement Council, to coordinate federal policy on the control and prevention of crime. Establish a National Academy of Law Enforcement which would make available to local law enforcement agencies training in the most sophisticated, modern methods as well as information about the social sciences and about community relations for adaptation to local conditions and local situations.",rep,1968,TRUE,not populist,randomly,0,0,0,0,0,0,0
85,85,1033,17,"But if we deal with this problem foolishly, we risk atomic war, on the one hand, or ignominious surrender, on the other--in either case, the destruction of freedom and civilization. I ask you: to whom should our people entrust the fight against Communism--to those Old Guard Republicans who, on one issue after another, vote the way our enemies like to see them vote? Or to those who have rallied the free world against Communist aggression?",dem,1952,TRUE,not populist,randomly,0,0,0,0,0,0,0
86,86,2997,11,"Because I wanted to be in public service, watch the Great Society unfold, and get a first-class education, I enrolled in Georgetown University, the nation's oldest Jesuit college. I wondered when I went there whether I would be out of place, a Southern Baptist who had rarely been far from home. Thankfully, both the students and the faculty there held to the scriptural commandment to befriend the stranger in their midst. And together, we found much common ground that Baptists and Catholics could walk together. And in the end, I felt completely at home in the Catholic tradition of Georgetown.",dem,1992,FALSE,not populist,randomly,0,0,0,0,0,0,0
87,87,2012-09-28-2012-fundraiser-5,14,"So the path I'm offering may be harder, but it leads to a better place. And some of you have seen we've been putting forward a longer ad explaining exactly how we're going to grow the middle class, create jobs, rebuild an economy on a stronger foundation. It starts with exporting more products, outsourcing fewer jobs.",dem,2012,FALSE,not populist,randomly,0,0,0,0,0,0,0
88,88,3360,16,"Medicare grows 7 percent a year under our economic plan. Remember, it was Mrs. Clinton who said we ought to have zero growth in Medicare. It grows 7 percent under our plan. Mr. Clinton start telling the American seniors the truth. And stop trying to frighten seniors.",rep,1996,TRUE,not populist,randomly,0,0,0,0,0,0,0
89,89,2004-10-23-remarks-jacksonville-florida,24,"Audience members. Boo-o-o! The President. They asked him, """"Why did you make the vote?"""" And he issued perhaps the most famous quote of the 2004 campaign, """"I actually did vote for the $87 billion, right before I voted against it.""""",rep,2004,TRUE,not populist,randomly,0,0,0,0,0,0,0
90,90,2436,0,"Your Excellency Cardinal Krol, Senator Schweiker, Congressman John Heinz distinguished guests, ladies and gentlemen: I feel great. How do you feel this morning? I am greatly honored by your invitation to address the convention of the Polish-American Congress, and I am mighty proud to be here, not just as president but as a friend of American Polonia.",rep,1976,TRUE,not populist,randomly,0,0,0,0,0,0,0
91,91,2352,11,"Always in the past you have answered """"Peace with honor.""""  By giving that same answer once again on November 7th you can help make certain that peace with honor can now be achieved.In these past four years, we have also been moving toward lasting peace in the world at large.  We have signed more agreements with the Soviet Union than were negotiated in all the previous years since World War II.  We have established the basis for a new relationship with the People's Republic of China, where one-fourth of all the people in this world live.  Our vigorous diplomacy has advanced the prospects for a stable peace in the Middle East.  All around the world, we are opening doors to peace, doors that were previously closed.  We are developing areas of common interest where there have been previously only antagonisms.  All this is a beginning.  It can be the beginning of a generation of peace--of a world in which our children can be the first generation in this century to escape the scourge of war.",rep,1972,FALSE,not populist,randomly,1,0,0,1,0,0,0
92,92,1782,17,"And I'll tell you why it isn't going to be smooth, and why we can't promise it's going to be smooth, why we can't tell you some brave new leadership is going to change everything, and it's going to change Mr. Khrushchev, and change his attitudes.  I'll tell you why.  Because we know him.  We know the Communists.  We sat opposite the table with them.  We know what they're trying to do.  Here are fanatical, ruthless men who are determined to conquer the world, determined to conquer it by any means, if necessary.  But when we consider them, then, we've got to recognize that they're going to cause us trouble--they're going to cause us trouble every time they can.  They're not going to cause us trouble only if we do what they want us to do.  And that means turn over the world to them.",rep,1960,FALSE,not populist,randomly,0,0,0,0,0,0,0
93,93,2026,19,"That is not good enough in 1968.  It's bad leadership, and I think the American people are going to prove it's bad politics. I say pass the treaty--now.  Then let's get on with the hard and urgent work of building the peace.  That's what I call a new strategy for peace--and I'll be saying a lot more about this new strategy in the days ahead. ",dem,1968,TRUE,not populist,randomly,0,0,0,0,0,0,0
94,94,2152,32,"Let me turn from the subject of peace abroad, of which the Mid-East is such an important part. It is an example, of course, of the type of diplomacy we need all over the world in these critical flash-points. Let us turn from the subject of peace abroad to the equally important subject of peace at home.",rep,1968,FALSE,not populist,randomly,0,0,0,0,0,0,0
96,96,2004-10-25-remarks-davenport-iowa,49,"The President. I believe that reasonable people can find common ground on the difficult issues. Republicans and Democrats, many citizens on both sides of the life issue came together and agreed we should ban the brutal practice of partial-birth abortion. I proudly signed that bill.",rep,2004,FALSE,not populist,randomly,0,0,0,0,0,0,0
97,97,1879,9,"As far as Rampart Canyon Dam is concerned, certainly you can expect progress, more progress, I believe, in our administration than his, because it's always the same old story. They make the promises, but we produce on the promises that they make--and that's what we want.  Now, a third point that I want to make has to do with the development of this great state. You know, the easy thing to do is to come to a state like this and say to you: the federal government is going to take over all of your problems. The federal government is going to promise you this, that, and the other thing. As a matter of fact, it's rather interesting that when we look at this campaign, it's had a rather amusing twist in a sense because, as you notice, the slogan that our opposition is using: """"Kennedy is the remedy."""" Well, you know, that's like the old medicine man who used to come to town--the same remedy for everything--spend more money--and that's your money. Now, the difference was, you know, that the medicine man had the same remedy--different labels on the bottle--it would cure snakebite or """"rheumatism"""" or anything else, but it really didn't do it; and the difference was the medicine man always got out of town just before the people caught up with the fact that the remedy didn't work. The trouble in the case of Mr. Kennedy--he didn't get out of town soon enough, and the people are going to find it out on November 8th.",rep,1960,TRUE,not populist,randomly,0,0,0,0,0,0,0
98,98,2016-10-18-colorado-springs-colorado,42,"In 2014, the Washington Post, another beauty, published an article entitled, """"Could Non-Citizens Decide the November Election?"""" The article found that 14 percent of non-citizens were registered to vote, 14 percent were registered to vote. And we're not supposed to talk about it. And your Republican leaders said, """"Oh, this—everything is peachy-dory,"""" right? And it also found non-citizen voting may have given Democrats the pivotal sixtieth vote needed to pass Obamacare. It's a Washington policy, not me.",rep,2016,FALSE,not populist,randomly,0,0,0,0,0,0,0
99,99,1688,0,"Distinguished guests, members of the Congress, of the state Senate, Governor Lawrence, ladies and gentlemen:  Governor Lawrence and I have been seeing the state of Pennsylvania for the last two days.  I was somewhat discouraged when we started out this morning in Delaware County to be informed that in 1936 Delaware County went for Alf Landon eight to one.  So I knew we were in for one of those political days.  But I must say that it was very good this morning, and in Montgomery County, and maybe we won't do so badly after all.  ",dem,1960,FALSE,not populist,randomly,0,0,0,0,0,0,0
100,100,2996,6,"Today I was in Clayton Country, Georgia, and I thought again of something Reverend Jackson used to say. I went to a real welfare reform project today called Peach, which is a good name if you're in Georgia, and it stands for a whole bunch of good things that basically say we're going to take people on welfare and give them education and training and help to support their children and give them the capacity to move to work, and then they will. And in Clayton County, Georgia, 70 percent of the people on welfare are white. The other day I was in Spokane, Washington, and I met with about eighteen people who had been asked to meet alone without me three days before and review the economic plan I had put before the American people. These people came from five different racial and ethnic groups; they were men and women; there were Democrats and Independents and people that thought they were for Ross Perot while he was in the race, and Republicans. They were all over the map. And I could tell they were having a big time with one another when I got there.",dem,1992,TRUE,not populist,randomly,0,0,0,0,0,0,0
101,101,2106,42,"We have young people by the hundreds of thousands, and they are coming to us by the hundreds of thousands.   And why? Because they want a president that will listen to them, they want a president that will understand them, they want a president that is with them in heart and in spirit.  And I am going to be that way.    ",dem,1968,TRUE,not populist,randomly,0,0,0,0,0,0,0
102,102,2126,4,"Incidentally, and I quote from the Chronicle, """"Mr. Nixon did not answer the """"Jewish Chronicle's"""" questions directly but asked our correspondent to find the answers to them in his B'nai B'rith speech. In the broader area of foreign affairs, I have outlined the steps of what I call """"A New Strategy for Peace.""""  As you know, I have spelled out in detail my Vietnam position.  I have talked about strengthening NATO, the United Nations, and expending our multi-lateral commitments to help developing nations.",dem,1968,TRUE,not populist,randomly,0,0,0,0,0,0,0
103,103,1016,0,"Mr. Conte, ladies and gentlemen, and boys and girls: I see by that sign down there that Dunkirk is for Stevenson. But I still don't feel that I am wasting my time by coming out here, and I am very grateful to all of you for being here, and to all of these children. I hope you are not cutting school.",dem,1952,FALSE,not populist,randomly,0,0,0,0,0,0,0
104,104,2117,16,VICE PRESIDENT HUMPHREY:  What has he ever done for young people in their schools?   VOICES:  Nothing! VICE PRESIDENT HUMPHREY:  What has he ever done for labor unions?,dem,1968,TRUE,not populist,randomly,0,0,0,0,0,0,0
105,105,2766,25,"I want an America which stands for human rights around this world again.  Let us speak for the values of the American people with a clear voice and a sound trumpet.  Let's stand for democracy and liberty in Poland, in El Salvador, in South Africa, in the Philippines, wherever human beings are being discriminated against.",dem,1984,FALSE,not populist,randomly,0,0,0,0,0,0,0
106,106,2810,24,"Now, just one more thing: I know that many of you know the word--and I hope I pronounce it correctly--respeto. Respect. Did I get it right?",rep,1984,FALSE,not populist,randomly,0,0,0,0,0,0,0
107,107,2944,10,Don't let them tell you the campaign is over if it's eight o'clock in the East.  It won't be over until the people of California have their say. This race is close and it's getting closer by the hour.  The undecided are many.  You have one of the best grass roots organizations ever in the history of this state.,dem,1988,TRUE,not populist,randomly,0,0,0,0,0,0,0
108,108,2882,16,"We'll use that fund to recruit the best of this generation to bring out the best in the next generation--by providing college scholarships and loan forgiveness to young people willing to make a commitment to teaching after they get their degrees. We'll work with the states to create a network of real centers of teaching and learning that will help veteran teachers renew their skills, refresh their spirit, and reinvigorate their minds. And we're going to revive the National Teachers Corps, which this administration killed, and make it a real domestic peace corps for teaching; a peace corps that will put the energy and the idealism of young college graduates to work bringing knowledge and the power of understanding to rural and inner city schools.",dem,1988,TRUE,not populist,randomly,0,0,0,0,0,0,0
109,109,2293,7,"If we ever have doubt on this score, we can look back upon the remarkable career of Al Smith and see how far he came and how much he meant to the ordinary citizen of his day. Al Smith's faith is the faith of the Democratic party, and I am proud to be the standard-bearer of that party--a party that gave the nation Franklin Roosevelt, Harry Truman, Lyndon Johnson, and John Kennedy. In 1928, despite the vitriol and abuse heaped upon his head, Al Smith kept his sense of humor and his common sense and he accomplished a fundamental change both in his party and in the ways Americans looked at one another.",dem,1972,TRUE,not populist,randomly,0,0,0,0,0,0,0
110,110,3016,10,"But you know something? I want to read you something that your senator said. I like to make fun of, you know, Tom gets up here and tells these stories. Every time you hear him talk, you're convinced he was born in a log cabin he built himself.",dem,1992,FALSE,not populist,randomly,0,0,0,0,0,0,0
111,111,2573,11,"Offered the opportunity to meet me in a head-on-head debate, my Republican opponent has taken his own version of the Rose Garden approach. There's just one item that he failed to overlook--he doesn't have a Rose Garden. And we're going to see to it that he never gets one.",dem,1980,FALSE,not populist,randomly,0,0,0,0,0,0,0
112,112,2851,35,"His approach to national defense is so like the previous administration that millions of Americans have decided we simply can't afford to go down that path again. So, when he asks us to forget the past, here with two weeks till Election Day, let's strike a bargain with him. We'll forget the past if he'll just quit trying to bring it back.",rep,1984,FALSE,not populist,randomly,0,0,0,0,0,0,0
113,113,1402,46,"THE PRESIDENT. Well, they propose to do plenty and are--well, I say are--not plenty, they are doing a lot and they expect to do more. Among other things, you know social security has been extended to many more people in the last couple of years--ten million more. We have gone into special housing programs for the aged. There has been special medical research in the diseases of the aged. There have been special programs started in the Department of Health, Education, and Welfare so that the people that are chronically ill, although not acutely ill, could have proper hospital care or proper care within a hospital center. All of that kind of thing is being done and more will be done. But the great thing is, as I see it, to give them finally the income on which they can live in self-respect and dignity, even if they don't live quite as actively as they did when they were younger.",rep,1956,FALSE,not populist,randomly,0,0,0,0,0,0,0
114,114,3287,54,"We passed the Brady Bill, the assault weapons ban, a bill to put 100,000 police on the street, three strikes and you're out. Our opponents, Senator Dole and the speaker, they led the fight against that crime bill. And now they don't understand why every major law enforcement organization for the first time ever has endorsed the Clinton-Gore ticket for re-election.",dem,1996,FALSE,not populist,randomly,0,0,0,0,0,0,0
115,115,1018,2,"This is a very happy experience for me and I am deeply touched and grateful to all of you for coming here and making my arrival in Albany so agreeable. I want to say to you that one of the happiest experiences that I have had in my brief life as a politician has been today in New York state. Not the least of it has been the fact that I have been privileged to travel with one of the most beloved and respected citizens of our generation, your Senator Herbert Lehman of New York.",dem,1952,TRUE,not populist,randomly,0,0,0,0,0,0,0
116,116,3356,7,"And I've got to believe there are a lot of people in this audience today where one parent works and supports the family and the other parent is forced to work just to pay the taxes, which are now 40 percent, the highest they've ever been in history. You pay more on taxes than you do on food, clothing and shelter combined. We need to reverse that course, and we're going to change that course.",rep,1996,FALSE,not populist,randomly,0,0,0,0,0,0,0
117,117,3363,26,"And while you're talking about that, remember who the president was, and not a Republican--voted for this--that raised taxes on Social Security benefits that seniors receive--thirty-some billion dollars in new taxes that you have to pay. And if--President Clinton said if you're receiving Social Security benefits, and say you're a widow, and you've got $25,000 worth of income--you're rich and you ought to pay taxes on 85 percent of your benefits, 85 percent. When I'm president we will repeal the tax hike on senior citizens' benefits in my administration.",rep,1996,FALSE,not populist,randomly,0,0,0,0,0,0,0
119,119,2008-09-06-expo-washington-dc,2,"That is the promise that Michelle's parents knew. After her father passed away, her mother was able to live comfortably due in part to his pension as a shiftworker. That was the promise that FDR made. And it was a promise that Washington kept for decades while folks like my grandparents and Michelle's parents moved through the ups and downs of middle-class life.",dem,2008,TRUE,not populist,randomly,0,0,0,0,0,0,0
120,120,3226,50,"If you want to start saving for a home, these bonds will enable you to start saving now without worrying about inflation. If you want to save for retirement or if you're already retired, the bonds will guarantee a lifetime of savings as solid as the word of the Treasury. Inflation protection bonds can be a solid rock upon which families build their futures and their dreams.",dem,1996,FALSE,not populist,randomly,0,0,0,0,0,0,0
121,121,3162,7,"His numbers don't add up. Anyway, he says he's going to just sock it all to the rich. Not so. To pay for all his programs, he's got to get down to everybody making over $36,600. And then, to take care of all the promises, every nurse out here, every teacher, every farmer, watch out; he's coming right after your wallet. Mr. and Mrs. America, don't let him do this to us. Tax and spend, tax and spend, tax and spend. George talked about it, your governor. The last time we had that, had a democratic president along with this spendthrift Congress that's been controlled by the Democrats for thirty-eight years, we had inflation at 15 percent. We had interest rates at 21.5 percent. And they had a malaise or a """"misery index"""" that's doubled what it is today. We cannot let this man do this to the country. Your hear Clinton and Gore, the Ozone Man, talking about change. That's all you're going to have left in your pocket if you get these guys in there, I'll guarantee you that.",rep,1992,FALSE,not populist,randomly,0,0,0,0,0,0,0
