,speech_par_id,text,label_bart,label_oscar,agreement,label_yuchen,,final_label
39,2016-08-23-arena-austin-texas_25,"The scandal I speak of is the State Department's Pay-For-Play Scandal under Hillary Clinton. If our Secretary of State can be bought, or bribed, or sell or trade government favors, then the whole American system is threatened. It is a threat to the foundation of Democracy itself. This is what happens in a Third World country – it's the failed conditions people flee when they come to America.",populist,populist,TRUE,,,
41,2832_4,"Now, it's fitting that we're campaigning today on Harry Truman's train, following the same route that he took thirty-six years and one day ago. He was the last Democrat I voted for. I campaigned for him in 1948. Mr. Truman could make very plain the differences between himself and his opponent and, my friends, that's just what I'm going to do this evening.",not populist,not populist,TRUE,,,
42,2851_22,"I could call his economic program a collection of old and tired ideas, held together by paralyzing commitments to special interest groups. But I won't, because Gary Hart, a Democrat, has said that.  I could predict that he will create deficits more than twice what they are now. But I won't, because Senator Fritz Hollings, a Democrat, said that.",populist,populist,TRUE,,,
43,2381_3,"In the absence of that leadership, there is no leadership, and the country drifts or accepts defects in its character that ought to be rooted out. As you well know, our foreign policy the last few years has been amoral in nature. There has been no constancy about it. There has been no commitment. There has been no constant search to correct the deprivation of human rights. There has been no adherence to the moral character of our nation itself or of our people. There has been no openness because it was a lot better to be concealed, and the American people have had no voice in the evolution or consummation of foreign policy decisions. It's been a time of evasion and secrecy in one man representing our country who has never been elected to public office.",not populist,not populist,TRUE,,,
45,3320_33,"The elite--the elite don't want a tax cut. They're going to get it anyway. Even former president Bill Clinton is going to get this tax cut when he's back in Little Rock, Arkansas. He'll get the tax cut.",not populist,not populist,TRUE,,,
46,2380_12,"This is not going to be an easy campaign. Twenty-one months ago I started running for president--January of 1975. I didn't hold public office. I didn't have much money. I didn't have a nationwide campaign organization. Not many people knew who I was. Maybe not 1 percent of those in this crowd knew who I was two years ago. We began to campaign, my wife and I, our family, and a few volunteers. We went from one home to another, and invited the whole neighborhood. Maybe three or four people would come, and we'd listen and talk. We'd go into a labor hall that might hold several hundred people, ten people would come. But we'd talk and we'd listen. We went into factory shift lines, beauty parlors, barbershops, restaurants, shopping centers, livestock sale barns, farmers' markets, courthouses, to talk a little and to listen a lot. And we've built up this campaign organization just among people. And it was a growing thing. And it was strong. And long before the convention took place in an unprecedented political development, I was assured the nomination of the Democratic party. At that time, now, in the future, I owe special interests nothing; I owe the people everything, and I'm going to keep it that way.",not populist,not populist,TRUE,,,
48,1090_9,"The average family pays $400 more for its food, clothing and housing, for its necessaries, than it is taking in, so where are we going to end up? One place we had better end up pretty quickly is getting somebody else in Washington, somebody who is not from top to bottom shot with the business of serving themselves instead of serving the public. Just think of this: only a couple of years ago in our papers, we were reading about burning potatoes by the shipload--Burning them up! And only this year it took almost a shipload of money to buy enough potatoes for the preacher's dinner. Now it is high time we got some policies and not these things that go up and down all the time. I have talked today and I am going to continue to talk about the Washington mess, a mess because we have got an administration of """"stumble, fumble, and fall."""" And the sad part of it is, we pay the fumblers, we pay the bunglers, we pay the people that are falling all over the place.",populist,populist,TRUE,,,
49,2245_7,"I think the time has come for a new sense of urgency; for a new sense of priorities in which we come to recognize that some of the principal threats to the country do not come from Hanoi, or Laos, or Cambodia but that one of the major threats to America is this problem of drug addiction and the related problem of crime which strikes at the security of every family in this land. And so I ask you to think about that problem and other neglected problems--the problems of those who suffer from malnutrition; the problem of the mother who can't pay the grocery bill anymore because of this skyrocketing wartime inflation--and I ask you if we want four more years of that. And then those of you--and I think that includes every thoughtful American who loves the Constitution and who takes pride in our personal liberties--and I ask you to think about what has been going in the wiretappers and the invasions of privacy and those who actually broke in to the headquarters of the Democratic National Committee and wiretapped our conversations, photographed our documents, destroyed the privacy of that headquarters, I ask you to remember that political agents who will do that kind of thing to a national political headquarters won't hesitate to do it to your office, to your home, to your bank, to your union office, to your agricultural office and to all of these things that we think of as our private domain and I ask you if we want four more years of that in the United States? I also ask everyone here to think about the problems of the independent small businessman who is faced on the one hand with the squeeze of big corporate interests, rising interest rates and the same problems that confront the family farmer here in southern Illinois--the steady encroachment of high interest and high taxes and corporate interests and I ask you here tonight whether we want another four more years of policies of that kind.",populist,populist,TRUE,,,
50,3131_6,"With the help of that new Congress, I'm determined to cut the size of government, because government is too big and spends too much of your money. I want to limit, limit the terms-- AUDIENCE MEMBER. Clean the House!",not populist,not populist,TRUE,,,
51,2008-10-18-louis-missouri-3_4,"But Missouri, I also know this. It will take a new direction. It will take new leadership in Washington. It will take a real change in the policies and politics of the last eight years. And that's why I'm running for President of the United States of America.",not populist,not populist,TRUE,,,
52,2284_13,"The Thieu regime stands for the theft of billions of dollars of our aid, stolen by powerful officials to enrich themselves while their countrymen are in the grip of starvation and disease. And every GI who has served in Vietnam knows that is the truth. Corrupt Vietnamese officials have enriched themselves putting heroin into the veins of a hundred thousand of our GIs. The same poisonous heroin from Southeast Asia is now being shipped into our cities, our suburbs, our streets, and even into the schools of America. And every Vietnam GI knows that is true.",not populist,not populist,TRUE,,,
53,2016-10-30-wilton-manors-florida_3,"But here's the good news. Yes, America is great, and we can make it greater if we work together and we set some goals. But we are seeing Americans coming together – Democrats, Republicans, independents – to reject Donald Trump's dark and divisive vision of our country. And it's going to be really important that we make it clear to everyone in these last nine days what's at stake. Because I really believe the vast majority of Americans agree with us. We don't want a president who demeans women. We don't want a president who has plans to break up and deport immigrant families. We don't want a president who perpetrated the lie that President Obama wasn't born in America. We don't want a president who would appoint Supreme Court justices to overturn marriage equality. But I want you to know, the energy we're now seeing out in the campaign is not just about what we're against, it's also about what we're for. Because we also share a common vision. Beyond partisanship and politics, it's a hopeful, inclusive America where everyone counts and everyone has a place, right?",not populist,not populist,TRUE,,,
54,2012-09-09-palm-beach-florida_32,"When Governor Romney and his allies in Congress say that the most important thing is to lower our deficit, and then he starts by calling for trillions of dollars more in new tax breaks for wealthy folks. And they were asked about it today. They couldn't answer.",not populist,not populist,TRUE,,,
55,1964_0,"Governor Bryant, Mayor Cart, my old friend Martin Andersen, my fellow Americans: I would like for the record to show this morning, plainly and clearly, and I want to say it loud and clear: I like Orlando! After that warm and friendly welcome last night, and your wonderful hospitality this morning, I am quite ready to accept Orlando citizenship. It is good to have your next governor on this platform with me, Haydon Burns, an able, energetic public servant who can do what Florida needs to have done for the future of this great state.",not populist,not populist,TRUE,,,
56,2283_18,"Finally, the next president can restore trust in government only if he himself trusts the people to face the facts and see the truth. A commitment to openness has a price. No president and no candidate is immune from error; an open campaign and an open administration will inevitably expose every mistake to public view. But better the obvious mistakes of honest leadership than the cold and apparent efficiency of a leadership which blinds us to its blunders until disaster is upon us.",not populist,not populist,TRUE,,,
57,2919_17,"My friends, if you're completely satisfied with America's place in the world; if you think that America can't do any better; if you think a bronze medal is the best we can do; then vote for Bush and Quayle. But if you think America and Americans should settle for nothing less than the gold in the classroom, in the workplace and in the world economy, then vote for Mike Dukakis and Lloyd Bentsen on November 5. My friends, there are no shortcuts to making America number one.",not populist,not populist,TRUE,,,
59,2008-09-28-columbus-ohio-7_10,"Now, let me give you some straight talk about this election: In 36 days your vote will determine the next president of this great country we all love. I think the differences between Senator Obama and myself are pretty clear. A vote for me will guarantee immediate pro growth action: tax cuts for America's hard working families, strong support for small businesses which are the back bone of our economy, and an end to pork barrel spending in Washington.",not populist,not populist,TRUE,,,
61,2106_26,"But I'll tell you one thing he never did do.  He just never ever fails to keep in touch with some of the big boys.  Oh, he has a nice way of touching them.  He writes up to the New York Stock Market and he says the Securities Exchange Commission that is there to protect the investor is too tough, and you that put your money in mutual funds, he says the Securities Exchange Commission is too tough on the broker.",not populist,not populist,TRUE,,,
62,2093_16,"And I want you to sock it to 'em with your ballot on November 5th. That is what we call the """"Tuesday punch"""", not the """"Sunday punch"""". Give it to them.",not populist,not populist,TRUE,,,
63,3157_5,"He calls this change. He calls himself the candidate of change. Now, let's look a close look at what he offers. Chris mentioned it, $150 billion, this is for openers, $150 billion in new taxes; $220 billion in new spending. That is called trickle-down government. It goes right from the top into your pocket. And we don't need that anymore. He says he's going to take it from the rich. I think everybody's heard that one before. He's not going to take it from the rich. If you drive a cab, teach school, trying to make ends meet in the household, watch your wallet, gang; he's coming after you. And we're not going to let it happen on November 3rd. ",not populist,not populist,TRUE,,,
64,2016-08-18-charlotte-north-carolina_48,"I am going to forbid senior officials from trading favors for cash by preventing them from collecting lavish speaking fees through their spouses when they serve. I am going to ask my senior officials to sign an agreement not to accept speaking fees from corporations with a registered lobbyist for five years after leaving office, or from any entity tied to a foreign government. Finally, we are going to bring this country together. We are going to do it by emphasizing what we all have in common as Americans. We are going to reject the bigotry of Hillary Clinton, which sees communities of color only as votes and not as human beings worthy of a better future.",not populist,not populist,TRUE,,,
65,2835_30,"Whenever I talk about FDR or Harry Truman or John F. Kennedy, my opponents start tearing their hair out. They just can't stand it. And, of course, they can't because it highlights how far they themselves have strayed from the strength of the Democratic political tradition. The good and decent Democrats of the rank and file haven't changed. Like their former leaders, they're clear eyed about the world. They have few illusions, and they consider themselves to be Americans first and not members of some special interest group.",not populist,not populist,TRUE,,,
67,2305_17,"The people who advocate the welfare ethic spend their time discussing how to cut up the pie we have, but those who believe in the work ethic want to bake a bigger pie, and I'm for baking that bigger pie. That's the kind of people Americans are, and that's the best way to take care of those who cannot care for themselves. Putting a ceiling on the opportunity of those who work is not the way to provide a floor for the support of those who do not work.Let me give you a second example of the challenge to our traditional values that is being made today. It shows how well-intentioned people, who believe that a paternal government in Washington can solve everything, can defeat their own good purposes by refusing to recognize the realities of human nature.",not populist,not populist,TRUE,,,
68,2012-11-01-green-bay-wisconsin_16,"So, Wisconsin, we know the ideas that work. We also know the ideas that don't work. Because in the 8 years after Bill Clinton left office, his policies were reversed. The wealthiest Americans got tax cuts they didn't need and that we couldn't afford. Companies enjoyed tax breaks for shipping jobs overseas. Insurance companies and oil companies and Wall Street were given free license to do what they pleased. Folks at the top got to play by a different set of rules than the rest of us.",populist,populist,TRUE,,,
69,1073_20,"Such shameless hypocrisy. Let's look at the record, such loss of the truth. Let's look at the record for it speaks louder than all their insinuating words.",not populist,not populist,TRUE,,,
71,2718_16,"If you think the big corporations got away with murder under Mr. Reagan, you ain't seen nothing yet.  Today, ninety thousand profitable corporations don't pay a dime in taxes and your family is paying the difference.  Under my plan, their free ride is over.",populist,populist,TRUE,,,
72,2670_3,"But today that dream of home ownership has been shattered for millions of Americans; shattered by soaring costs, high interest rates, and gross mismanagement of the economy by the present administration in Washington. In August 1977, just seven months after Jimmy Carter took office, a new house sold for an average price of $54,900. With a $40,800 mortgage loan for thirty years at a rate of 8.75 percent, a homebuyer paid $321 per month.",not populist,not populist,TRUE,,,
73,2008-10-09-dayton-ohio-2_10,"We also have to make sure that if the Treasury moves forward with its plan to put more money into struggling banks, taxpayers will be able to get their money back and the CEOs who contributed to this crisis won't get rich as a result. And those AIG executives who went on vacation with taxpayer dollars? They should return to Washington with a check for the taxpayers and be fired on the spot.",not populist,not populist,TRUE,,,
77,3038_22,Funny? It would be funny if it's not so pathetic. This is a crowd so desperate to hold onto power they have forgotten that the purpose of power in a democratic government is to use it to help people and to lift them up. That's what this is about. That's what this is about.,populist,populist,TRUE,,,
78,2012-11-03-rally-bristow-virginia_44,"And what they're counting on now is that you're going to be so worn down by all the squabbling, so tired of the dysfunction, so weary of what goes on, on Capitol Hill, that you're just going to give up and walk away—— Audience members. No! The President. —and just put them back in power or let them stay there. In other words, their bet is on cynicism.",not populist,not populist,TRUE,,,
79,2758_11,"The problem in El Salvador is that for a century and more, they didn't care about their people; they didn't help their people; they didn't give their people a chance. That's the problem in the Philippines today.  They've got a dictator who's corrupt and doesn't care about the people of the Philippines.",not populist,not populist,TRUE,,,
80,2766_17,"It's all the same thing.  It means that people of middle and moderate income are going to get socked with the whole burden, and these wealthy Americans, these corporations, and these loophole users are going to run free in this country. I think they ought to join the rest of us in paying for the cost of American society.",populist,populist,TRUE,,,
81,2004-10-16-sunrise-florida-0_23,"To build a more hopeful America, we must have the best prepared, most highly skilled workforce in the world. See, most new jobs are filled by people with at least 2 years of college education, yet only one in four of our students gets there. That's why we'll fund early intervention programs in our high schools to help at-risk students. We'll emphasize math and science. Over time, we'll require a rigorous exam before graduation. By raising performance in our high schools and expanding Pell grants for low- and middle-income families, more of our students will start their career with a college diploma.",not populist,not populist,TRUE,,,
82,2016-11-07-state-university-raleigh_3,"Now, we are all fired up. When we were with the President and Michelle in Philadelphia. You know, the President was talking about how absolutely consequential this election is, and of course it is. I really believe it's the most important election of our lifetimes because we've never had a clearer choice. Never. It is a choice between division or unity; between strong, steady leadership or a loose cannon who could risk everything. It's a choice between an economy that works for everyone, not just those at the top. And it is a choice that really goes to the heart of who we are as Americans.",not populist,not populist,TRUE,,,
84,3076_15,"There is still lots of work to be done. The Middle East, indeed, the world, is still a dangerous place. Terrorists continue to target the innocent. The proliferation of weapons of mass destruction casts a cloud over the region's future. Iraq's Saddam Hussein, however much weaker, defeated, and locked in the prison of his own country, still brutalizes his own people, resists the will of the international community.",not populist,not populist,TRUE,,,
85,2016-10-27-expo-springfield-ohio_24,We will terminate NAFTA and get a much better deal for our workers if we can't renegotiate it properly. We're gonna get a better deal for our workers and for our companies. Because we cannot continue to be the people led by stupid people. We can't. We can't.,not populist,not populist,TRUE,,,
87,2008-10-25-reno-nevada-2_0,"Nevada, in just 10 days, you'll have the chance to elect your next President. And you'll have the chance to bring the change we need to Washington. That's the good news. But we're going to have to work, and struggle, and fight for every single one of those 10 days to move our country in a new direction. We cannot let up. And we won't.",not populist,not populist,TRUE,,,
89,2708_14,"Working people are being pounded.  The big boys have been picking your pocket to line their pockets.  Well, what kind of people are we?  I think we're a fair country that plays by the rules, and I believe Americans believed it when Lincoln said government ought to be of the people, and by the people, and for the people in this country.  On November 6, pick a president who knows that.  I don't believe a president should just serve all the people in his country club.  I believe a president should serve all the people in our country--and that's what I'll do.",populist,populist,TRUE,,,
94,2016-11-01-valley-forge-pennsylvania_30,"We will rebuild our military and we will rebuild our country. I'm not a politician. My only special interest is you, the American people. That's why I've done this.",not populist,not populist,TRUE,,,
95,2012-11-04-rally-hollywood-florida_21,"The President. Another $5 trillion in tax cuts for the wealthy, that's not change. Audience members. No!",not populist,not populist,TRUE,,,
96,2008-10-26-denver-colorado-3_0,"Colorado, in just 9 days, you'll have the chance to elect your next President. And you'll have the chance to bring the change we need to Washington. That's the good news. But we're going to have to work, and struggle, and fight for every single one of those 9 days to move our country in a new direction. We cannot let up. And we won't.",not populist,not populist,TRUE,,,
97,3294_23,"And you get to decide. On the budget you've got a clear choice--you can follow our plan with four years of evidence and go on and balance the budget, give targeted tax cuts for education, child rearing, health care, and home buying, and protect Medicare and Medicaid, education, and the environment; or you can have this big, old tax scheme which sounds good but actually raises taxes on nine million. Senator Dole believed it was wrong. They said, it will hurt the economy because we ought to leave people alone and let them do whatever they want to do. And I hope they'll do the right thing. He wasn't mean about it. He hoped they would do it.",not populist,not populist,TRUE,,,
98,1350_13,"That is why I am so pleased to learn of your work here at Fairleigh Dickinson. As we consider the impossible price of another big war, we may begin to wonder whether the soft-headed dreamers are not those who think that disarmament is impractical, and whether the hard-headed realists are not those who demand that we give the search for the means of world disarmament top priority in our conduct of foreign affairs. We must not deceive ourselves about the implication of enforced disarmament. The price will be high. I do not mean the cost of money. I mean the cost in the readjustment of old habits, of old ways of thought, of national attitudes, and such readjustment would involve an even more tremendous wrench in a totalitarian society like the Soviet Union--perhaps a far greater wrench than there is reason to suppose the Communists are likely to make.",not populist,not populist,TRUE,,,
100,2012-11-02-rally-lima-ohio_46,"The autoworker who was laid off and thought the plant would never reopen and now is back on the job filled with pride and dignity, building a great car, he needs a champion. All those kids, all the kids in inner cities and small farm towns—Black, White, Hispanic, Asian, Native American, gay, straight, able, disabled—kids all across this country, in rolling hills in Virginia or in the valleys of Ohio or right here in Lima, kids dreaming of becoming scientists or doctors, engineers or entrepreneurs, diplomats or even a President, they need a champion in Washington. They need somebody fighting for them because the future is theirs, but they'll never have lobbyists in Washington working for them, they need a President who is working for them. They need a President who is fighting for them.",not populist,not populist,TRUE,,,
101,2008-09-21-north-carolina-0_3,"First, there must be no blank check when American taxpayers are on the hook for this much money. Second, taxpayers shouldn't be spending a dime to reward CEOs on Wall Street. Third, taxpayers should be protected and should be able to recoup this investment.",not populist,not populist,TRUE,,,
103,2004-09-24-remarks-racine-wisconsin_3,"The President. I'm sorry that Laura is not here. I wish she were here. She is a great wife, a wonderful mother, and a great First Lady. And I appreciate my runningmate, Dick Cheney. Look, he doesn't have the waviest hair in the race. I picked him for his experience, his judgment, and the fact that he can get the job done for the American people.",not populist,not populist,TRUE,,,
104,2012-10-09-columbus-ohio-1_20,"The President. Over the last 4 years, I've seen a lot of folks hurting. I've seen a lot of struggle. And I am not going to make—I'm not going to have us go back to another round of top-down economics. But that's what my opponent is offering. The centerpiece of Governor Romney's economic plan is a new $5 trillion tax cut that favors the wealthiest Americans. He has been pitching that plan for an entire year, stood up onstage in one of his primary debates, proudly promised that his tax cuts would include the top 1 percent.",not populist,not populist,TRUE,,,
105,2004-10-25-remarks-greeley-colorado_41,"The President. I don't see much diplomatic skill in Senator Kerry's habit of insulting America's closest friends. He's called the countries serving alongside us in Iraq, quote, """"a trumped up coalition of the bribed, the coerced, the bought, and the extorted.""""",not populist,not populist,TRUE,,,
106,2008-09-24-remarks-dunedin-florida_9,"Now, in the last few days, my opponent has decided to start talking tough about CEO pay. He's suddenly a hard-charging populist. And that's all well and good. But I sure wish he was talking the same way over a year ago, when I introduced a bill that would've helped stop the multi-million-dollar bonus packages that CEOs grab on their way out the door. Because he opposed that idea. I sure wish he joined me when I blew the whistle on the fired CEOs of Fannie Mae and Freddie Mac who tried to walk away with golden parachutes. I sure wish he felt the same outrage about CEO pay when his top economic advisor - who he calls a 'role model' - walked away with a $42 million package after being fired from Hewlett Packard. I sure wish he would change his current plan to give the average Fortune 500 CEO a $700,000 tax cut at a time when millions of Americans are struggling to pay their bills. That's what I'd like to hear.",not populist,not populist,TRUE,,,
107,3105_12,"They say government knows best. I say private industry knows better. So we really need to move the power away from the government bureaucrats and closer to the consumer and the producer, closer to the people who build the products and the people who want to buy them. ",not populist,not populist,TRUE,,,
108,2012-10-08-rally-san-francisco_12,I've seen too much pain and too much struggle to let this country get hit with another round of top-down economics. The centerpiece of my opponent Governor Romney's economic plan is a $5 trillion tax cut skewed towards the wealthy. He's been pitching this plan for almost 2 years now.,not populist,not populist,TRUE,,,
109,1156_29,Now the record of our failures and problem to this date is sobering enough in itself.  But consider the smugness with which the administration policy-makers have accepted their failures.  Everybody is out of step but the Democrat administration.,not populist,not populist,TRUE,,,
110,2769_12,"But in the real sense, their hopes and the hope for a just society depend on the election of a president who knows that he must be with them and help them to get on their feet and to have a decent life. That's the hope for the poor and the powerless in this country. If we want to be a decent society--and we all do--we must measure it not by how generous we are to the powerful, but how just we are to the powerless.",not populist,not populist,TRUE,,,
112,2639_13,"In a separate and disturbing incident, Mr. Carter's Secretary of Defense has breached one of this nation's most closely held military secrets in a transparent effort to divert attention from the administration's dismal defense record. Mr. Carter must take full responsibility for playing a dangerous political game with America's national security--a game which ignores and undercuts our long-held tradition of a bipartisan national security policy. He clearly wants to be reelected so badly that he is willing to hide his real record by fabricating a fictitious one for his campaign.",not populist,not populist,TRUE,,,
113,1351_17,"But, as we have seen repeatedly, even the leadership of this President, such as it is, of this Cabinet and this administration has been rejected time and again by the radical obstructionists and reactionaries who make up so much of the Republican party in the Congress and therefore of the Republican leadership in the country. In short, what these years of Republican rule have demonstrated again is that the Republican party is not a fit instrument to govern a nation that wants to make progress for the benefit of ordinary people, for the benefit of Joe Smith. The provision of schools, the clearing of slums, the development of a health program--these are not serious interests of this Republican party and the administration. On these matters the elephant worries about the people at four year intervals.",populist,populist,TRUE,,,
114,2016-11-04-market-detroit-michigan_22,"And it's important for us to recognize that when I talk about getting the economy to work for everybody, that means I want the biggest jobs program since World War II – infrastructure, advanced manufacturing, clean, renewable energy technology. Some people say we can't do that. Well, I'm telling you, they're wrong. They're wrong. We have the best workers, the most productive workers. We're going to give them more to work on, more products to produce. And we're going to do more for small business because small business is the backbone of so many communities. And I want everybody to have the chance to succeed in America. That means we're going to dismantle the so-called school-to-prison pipeline and replace it with the cradle-to-college pipeline.",not populist,not populist,TRUE,,,
115,3119_25,"Let's get our cities and our citizens and our cops the help that they need, the help they must have to drive crime and drugs off our streets and out of our lives, here in east Dallas and all across the United States of America. Let's make some changes in Congress and clean House. Absolutely!",not populist,not populist,TRUE,,,
116,1361_14,"The Republican administration, because it is dominated by the big corporations, will never check the march toward bigness and industrial feudalism. General Eisenhower had the opportunity in 1952. Many people thought that he was a different kind of Republican; they thought he would change the Republican party. But an old elephant is like an old dog--you can't teach it new tricks.",populist,populist,TRUE,,,
117,2004-09-07-remarks-columbia-missouri_24,"Audience members. Boo-o-o! The President. It's awfully tempting, when you get out there, to tell people what they want to hear. So they asked him— they said, """"Well, how are you going to pay for it?"""" And he said, """"Well, don't worry. I'll pay for it by taxing the rich."""" Well, first of all, you can't raise enough money by taxing the rich to pay for all his promises. You know what that means. Secondly, you've heard that rhetoric before, haven't you? """"Oh, don't worry, we'll just tax the rich."""" Well, the rich hire lawyers and accountants, and you get stuck with the bill. But we're not going to let him. We're going to win in November.",not populist,not populist,TRUE,,,
118,1381_7,"I think that a most significant and basic development in American government during these past four years is the extent to which the administration of the nation's affairs has been taken away from the people. It has been turned over to a board of directors--men selected not for their familiarity with ordinary people and their interests, but for their ability to make money. My Republican opponent was defending recently his appointment as Secretary of Defense the man who was head of our largest corporation. """"Who,"""" he asked protestingly, """"would you rather have in charge of (this Department), some failure that never did anything or a successful businessman?"""" It seems to me a sad commentary on America's sense of values when our President puts what he calls """"successful businessmen"""" on one side of the line and then implies that all other men are failures, and unqualified for democracy's top jobs. Nowadays Abraham Lincoln wouldn't even rate a job in the Cabinet. ",populist,populist,TRUE,,,
119,2016-11-02-fairgrounds-orlando-florida_27,"Now, I'll tell you what. The system is rigged. The system is rigged.",populist,populist,TRUE,,,
120,2016-10-02-charlotte-north-carolina_11,"Being stronger together with this common vision means rejecting those forces that try to pit us against each other. We can acknowledge that implicit bias still exists, not just in police departments but throughout our country, without vilifying police officers. We can call for reforms to policing, while still appreciating the many courageous and admirable officers out there who are doing their jobs with honor and integrity.",not populist,not populist,TRUE,,,
121,2004-09-15-gala-washington-dc_6,"On issue after issue, the other side has been trying to muddy the waters to keep voters from seeing the real differences and the real choices in this election. They have engaged in the most negative campaign in history – spending millions to distort my record, for one simple reason: On every issue -- from Iraq to Social Security, from fiscal discipline to education, from jobs and wages to worker rights, and immigration -- they don't have a record to run on; they have a record to run away from. And John Edwards and I are going to fight every day to show the difference between the tired, old, negative politics of the past and a new direction for America.",not populist,not populist,TRUE,,,
123,3069_16,"But Governor Clinton stands against malpractice reform, and there is a simple reason. The trial lawyers of America, the same fat cats who are getting rich off these malpractice lawsuits, are his staunchest supporters. And here's what one Arkansas trial lawyer wrote about him, trying to raise money for the Clinton campaign"""" """"I can never remember an occasion where he failed to do what was right where we trial lawyers are concerned.""""",not populist,not populist,TRUE,,,
124,2008-10-05-north-carolina-1_26,"But what Senator McCain doesn't tell you is that the average cost of a family health care plan is more than twice that much - $12,680. So where would that leave you? Senator McCain also doesn't tell you that insurance in the individual market is more expensive and includes fewer benefits. Many of these plans don't cover things like prescription drugs or pre-natal care.",not populist,not populist,TRUE,,,
125,2989_8,"You can see the fundamental difference Mr. Bush talks about in the passion of his presidency, making sure that the wealthy pay lower taxes. He cares so much about reducing taxes for the wealthy that his number one economic priority is a short-term across-the-board $31 billion capital gains tax cut for the wealthy that will give the average millionaire $100,000, but unlike an investment tax credit for new plants and equipment here in Macon, or a tax break for long-term investment for people who start new small businesses, his capital gains cut won't create new jobs for the rest of us. He cares so much about protecting the wealthy that he even asks the Internal Revenue Service to ease up on tax audits for the wealthy and crack down on middle-class taxpayers.",populist,populist,TRUE,,,
126,2016-10-26-park-tampa-florida_17,"And isn't it finally time to guarantee equal pay for women's work? You know, this is not just a women's issue. This is a family issue. If you've got a mother, a wife, a sister, or a daughter working, it's your issue. And unlike my opponent, we're going to ask the wealthy, the millionaires and billionaires, to pay their fair share, because we're going to close the loopholes and make sure no multimillionaire ever pays a lower tax rate than a nurse or a teacher or a police officer or a firefighter. And I will not raise taxes on anyone making less than $250,000 a year.",not populist,not populist,TRUE,,,
128,2272_10,"Not surprisingly, the Nixon Commission ruled against the senators and handed that enormous windfall to the big corporations. The Commission argued that gas is in short supply. The fact is that the United States government has never obtained an impartial independent estimate of the gas reserve of this country. ",not populist,not populist,TRUE,,,
129,2012-11-04-concord-new-hampshire_39,"But you've also got to have principles. You got to have something you stand for. And if the price of peace in Washington is cutting deals to kick students off of financial aid or get rid of funding for Planned Parenthood or let insurance companies go back to discriminating against people with preexisting conditions or eliminate millions of people on Medicaid who rely on it for their health care—the poor, the disabled, the elderly—that's not a deal I'm willing to take. That's not a price I'm willing to pay. That's not bipartisanship, and it's certainly not change. That is surrender to the same status quo that has squeezed middle class families for way too long.",populist,populist,TRUE,,,
130,2004-10-27-sioux-city-iowa_18,Do we want four more years of a President who gives more to those with the most and tells a struggling middle-class that everything's just fine? Or do we want a President who will honor middle-class values and fight for middle-class opportunities? Do we want four more years of a President who fights for the privileged few or do we want a President who fights for a stronger America for every American?,populist,populist,TRUE,,,
131,2004-10-22-milwaukee-wisconsin-1_17,"We're going to raise the minimum wage to $7 an hour, so that no woman working full time will have to raise a family while living below the poverty line. That will help more than 9 million women and, for those working full time, it will mean an increase in their incomes of over $3,800 a year. We're also going to create good paying jobs that let families get ahead. We're going to provide real tax cuts for middle class families to put money back in the pockets of hard-working women. We're going to roll back George Bush's overtime pay restrictions. And we'll close the pay gap once and for all – because, in America, equal work should mean equal pay, no, ands, ifs, or buts about it. We're going to shatter the glass ceiling, because in our America, all people are created equal.",not populist,not populist,TRUE,,,
132,1374_7,A Democratic administration similarly brought decency and stability into the securities market. It outlawed falsehood and deception in the investment world. It established new rules for the issuance of stocks and bonds. It liberated the responsible promoter and the responsible broker from the competition of the charlatan and the cheat.,not populist,not populist,TRUE,,,
133,2168_25,"By the same token, I think where the Congress is concerned, it must respect the judiciary, it must respect the presidency. And finally, with regard to the presidency, I want to make it clear that I do not expect the Congress and do not want a Congress that will simply be a rubber stamp for what I hand down and what the executive agencies hand down from the Cabinet offices. I think we need strong, independent senators and congressmen, and that way we can get that balance which will produce not just the common denominator of consensus, but the top leadership that comes from controversy and discussion and dissent and the balance of powers that our Founding Fathers thought of when they set up our system.",not populist,not populist,TRUE,,,
134,2012-11-01-rally-boulder-colorado_50,"Because if the price of peace in Washington is cutting deals that will kick students off financial aid or get rid of funding for Planned Parenthood or eliminate health care for millions on Medicaid just to give millionaires a tax cut, then that's not a deal worth having. That's not bipartisanship. That's not change. That's surrender to the same status quo that has hurt middle class families for way too long.",populist,populist,TRUE,,,
135,2004-10-14-reno-nevada-0_63,"Four years ago, when I traveled your great State, I made a pledge that if you gave me a chance to serve, I would uphold the honor and the dignity of the office to which I had been elected. With your hard work, I will do so for 4 more years. God bless. Thank you for coming. On to victory. I appreciate you all.",not populist,not populist,TRUE,,,
136,2008-10-19-north-carolina-0_6,"But North Carolina, I know this. It will take a new direction. It will take new leadership in Washington. It will take a real change in the policies and politics of the last eight years. And that's why I'm running for President of the United States of America.",not populist,not populist,TRUE,,,
137,2016-10-22-eisenhower-complex-gettysburg_19,"Look at what they've done to you with your jobs. It is just been lined on video, that the violent protests at some of my rallies, like in Chicago, where police and others were seriously hurt. You saw that blood pouring down their face were caused by paid, paid DNC and Clinton campaign operatives.",not populist,not populist,TRUE,,,
