,total_id,Speech_id,par_id,text,party,term,comp,populist_old_keywords
15881,2190_4,2190,4,"And so, let us ask ourselves how we can devise more equitable methods of school support to overcome imbalances among school districts, particularly in urban areas; how our basic subjects, the intellectual tools of our civilization, can be better taught; how we can encourage the growth of variety and flexibility, even as our society grows more complex, for diversity is inseparable from freedom itself; how our schools can be brought closer to the people of our communities, and how much they can better serve the community at every level; how vocational education can be rejuvenated, by making it relevant to the jobs not only of today but of five and ten years from now; how we can make the training of our teachers commensurate with the demands of the space age, and how we can provide more incentive and greater professional recognition for our teachers; what role the miracles of technology can play in the schools of tomorrow; and how we can best preserve the traditions of our civilization; and whether, too often, we have not allowed inspiration and excitement to disappear from the classroom. These are some of the urgent questions we all must answer--first as citizens, then as leaders of government. For at every level of government--local, state, and federal--elected and appointed officials have the duty to listen before they have the right to lead. They do not own the public schools. These schools belong to the people who paid to build them and who pay to support them. And I believe that government has not been listening well enough lately. We all know, too, that those listen best who are closest to the people, part of the community the school serves. They cannot be deceived in the long run, for they know better than anyone in Washington what is best for their children.",rep,1968,True,False
21239,1927_44,1927,44,"We passed the Area Redevelopment Act, the Manpower Act, the Trade Expansion Act, new housing legislation, three education bills, and don't forget this, the Nuclear Test Ban Treaty. I remember some newspaper reporters said, """"If you just pass two bills, if you can just get a bill where we can take all these fights out of the streets and put them in the courts, the civil rights bill,"""" and you will remember we had the Birmingham episodes and all the serious problems, """"if you can just take it out of the streets and put it in the courts."""" And it is now in the Supreme Court and we have had lots of difficulty with it, but we have tried to be patient and we have tried to be understanding. And we have had a good deal of integration of schools this year in some of the most difficult places in the United States--the state of Mississippi, and they have integrated their schools.",dem,1964,True,False
39687,2502_1,2502,1,"I would also like to express my deep, personal appreciation to the master of ceremonies, Peter Graves, who went with us in Illinois, who was with us in California. Thank you very, very much, Peter. In this process, you get some experience on bands. Well, let me say that the Bellevue Band, the Queen Anne Band, and the Everett Band--they're all first class.",rep,1976,True,False
66892,2016-10-22-plane-pittsburgh-pennsylvania_2,2016-10-22-plane-pittsburgh-pennsylvania,2,"The other point is today, we are making our closing arguments. We are talking about what is at stake in the election we are drawing contrasts, but we are giving people something to vote for, not just against. And I saw where our opponent Donald Trump went to Gettysburg, one of the most extraordinary places in American history, and basically said, if he's president, he will spend his time suing women who have made charges against him based on his behavior.",dem,2016,True,False
65914,2008-09-04-national-convention-saint_28,2008-09-04-national-convention-saint,28,"I fight for the family of Matthew Stanley of Wolfeboro, New Hampshire. Matthew died serving our country in Iraq. I wear his bracelet and think of him every day. I intend to honor their sacrifice by making sure the country their son loved so well and never returned to remains safe from its enemies.",rep,2008,True,False
6476,914_7,914,7,"It would seem that the overwhelming majority of the press is just against Democrats. And it is against Democrats, so far as I can see, not after a sober and considered review of the alternatives, but automatically, as dogs are against cats. As soon as a newspaper--I speak of the great majority, not of the enlightened ten percent--sees a Democratic candidate it is filled with an unconquerable yen to chase him up an alley. ",dem,1952,False,False
67799,2016-11-07-grand-rapids-michigan_45,2016-11-07-grand-rapids-michigan,45,"We need more love and kindness in America. I don't know about you, I don't know about you but I bet everyone of us has received a kindness and maybe, I hope, we've all extended one. I am standing here today because my mother, who was abandoned by her parents, rejected by her grandparents, went to work at the age of 14 as a maid, and a babysitter, was extended kindness. Not by those who should have loved her, but by others. The first grade teacher who saw she had nothing to eat at lunch, who began bringing extra food. The woman whose house she went to work in who knew that my mother wanted to go to high school. She would have been a freshman in high school when she had to leave her grandparents' home and she got this job. And that woman said, """"I know you want to go to high school. If you get up early and you get your chores done, you can go to high school, but you'll have to come back because we'll need you in the late afternoon.""""",dem,2016,True,False
21928,2180_8,2180,8,"Look at them. The young people are with us. They are moving out across this nation. So what we find, young Americans, Republicans, Democrats and Independents, joining together to get the new leadership that they believe America needs.",rep,1968,False,False
48115,1391_15,1391,15,"And distasteful as this matter is, I must say bluntly that every piece of scientific evidence we have, every lesson of history and experience, indicates that a Republican victory tomorrow would mean that Richard M. Nixon would probably be president of this country within the next four years. I say frankly, as a citizen more than a candidate, that I recoil at the prospect of Mr. Nixon as custodian of this nation's future, as guardian of the hydrogen bomb, as representative of America in the world, as Commander-in-Chief of the United States Armed Forces. Distasteful as it is, this is the truth, the central truth, about the most fateful decision the American people have to make tomorrow. I have full confidence in that decision.",dem,1956,True,True
19463,2383_7,2383,7,"The first step in providing economic equality for women is to ensure a stable national economy in which every person who wants to work can have a job, and in which the wages derived from that labor are not ravaged by quiet, undetected, insidious inflation. Furthermore, within that stable economy, it is necessary to eliminate all forms of sexual discrimination and to provide women, for the first time in history, with economic opportunities equal to those of men. A spokesman for the Ford Administration made an amazing comment before a group of businessmen in Colorado in August of this year. In attempting to rationalize away the rising unemployment rates which have now reached 7.9 percent (with 500,000 more Americans going on the unemployment rolls in the last three months alone), this man argued that unemployment was not really an issue because the rate for male heads of households was only 5.5 percent. The official rate was unimportant, he said, because it included so many women who really didn't need to be in the labor force at all.",dem,1976,True,False
50329,1972_0,1972,0,"Ladies and gentlemen, boys and girls: This is a great Democratic Tuesday in Pittsburgh, and a week from tonight it is going to be a great Democratic Tuesday. When I was a little boy, living in a small house, in a small town, in the backwoods of my state, I remember hearing a political leader say at the Fourth of July picnic that he loved freedom so much that he just wished all the people had a little bit of it. And as I came into this magnificent building tonight, and I saw the new Pittsburgh, and I saw all of these happy, smiling faces, I just wished that everybody in our country could be here, because I think it would be contagious.",dem,1964,True,False
28249,1337_28,1337,28,"The twenty-six years of Republican government have produced a record largely of stagnation, of complacency, and of drift. The Republican leadership cannot hope to meet the challenge of the future--because it can hardly bear to live in the present. The pace of change is quickening every moment, with every new discovery in our laboratories, every new invention in our workshops, every new upsurge of human ambition and hope in the revolutionary turbulence of the world. To meet the challenge of the twentieth century we need every resource of imagination, of intelligence, of courage, and of faith.",dem,1956,True,False
9251,3216_11,3216,11,"The second thing we have to do, folks, is keep this economy growing strong. I want to have the right kind of tax cut--one that is targeted to education, to child-rearing, to health care costs, to buying the first-time home--we're not imposing taxes on people if they sell their home for a gain. But I want these things paid for because we still have to balance the budget without bankrupting Medicare, Medicaid, or turning our backs on education and the environment. We have to invest in our future and honor our obligations to the people that share this country with us. And I want you to help me build that kind of bridge to the twenty-first century. I hope you will do that.",dem,1996,False,False
19885,1067_11,1067,11,"I don't believe that these changes in the nature of business have been adequately recognized by everyone in government. I think we must sweep out of the corridors of government, at all levels, national and state, those lingering suspicions which are a holdover from an earlier and very different time.  This is a problem which concerns me very deeply, for I am convinced that both government and business must learn to live together in harmony, before an era of bad temper turns into something infinitely worse. We must avoid at all costs the bitter struggle of class against class, which results inevitably in a drift either to the extreme left or to the extreme right. And you and I know that either kind of drift would end up at the same dreadful destination: a police state with all of the horrors that we have seen in Hitler's Germany and Stalin's Russia. ",dem,1952,True,False
28161,3246_12,3246,12,"I think this is a better country because we took action to protect Yellowstone National Park from a gold mine--because I signed a bill just this morning before I flew out here to continue our work to recover and preserve the Florida Everglades--because a few days ago I followed in the steps of Theodore Roosevelt and took executive action to protect the Grand Staircase-Escalante National Monument in Utah. I believe it's a better country because of that. I believe this is a better country because we have invested more in research; because in the last four years we have uncovered two of the genes which cause breast cancer among women and which may permit us not only to cure it, but to prevent it in the future. That's something we had to do together, and we did it together.",dem,1996,True,False
32831,2201_14,2201,14,"Income guarantees treat the results of poverty, but not the causes of poverty. They transfer money from those above certain arbitrary incomes to those whose incomes fall below this line. The result would be to pay the poor for an unobtrusive retreat to the back alleys of America.",rep,1968,False,False
18098,3066_5,3066,5,"We now enjoy an unparalleled reign of free markets and free people around the globe, an unprecedented opportunity for growth. When I think of my presidency, I must say I look at these kids, and I think we are very lucky that in the last three years we've been able to reduce the threat of nuclear war that has scared every family half to death in this country. Today, when I talk to Boris Yeltsin, the Russian president--and I talked to him just last week--we don't talk about nuclear weapons. We talk about how much grain we can provide to Russian consumers and how we can solidify his democracy, his freedom, his reforms. We also talk about the biggest swords-into-plowshares agreement ever, one that will return that Russian bomb-grade material, uranium, into fuel for the peaceful generation of electric power right here in America.",rep,1992,True,False
36800,2766_27,2766,27,"These last several months, every day we pick up the paper and read about starving human beings in Africa in Ethiopia.  Here we are, in this land of agricultural abundance, where last year we paid $31 billion to people not to produce food.  Why can't we turn around and see that this is a blessing and a miracle that we have in America?",dem,1984,False,False
22535,2627_12,2627,12,"First, I want to say that I'm confident about the future of our nation. The next four years can be very good years. The major reason for confidence is that we have learned. We've learned so much about the challenges that have confronted us the last few months, and we've laid the foundation now to meet those challenges in the future. We know we face dangers in the world, but we've learned to use our strength wisely, in the service of our real interests, and our real values.",dem,1980,False,False
24358,3074_1,3074,1,"May I greet Jim Sensenbrenner. If we had more like him in the Congress you wouldn't have everybody yelling, """"Clean House."""" He's right. Most of them are wrong. We do need to clean House. That brings me to Joe Cook. I'd like to see him elected to the Congress. And then, of course, John MacIver, an old friend who has been in these political trenches with me and Tommy and Bob Kasten for a long time; we salute him. Here's a guy who rolls up his sleeves, like so many of you, and just goes to work for what he believes. It's a great part of American politics. I salute him and every other volunteer out there doing the Lord's work. We are going to win because of all of you.",rep,1992,False,False
27120,2004_43,2004,43,I happen to believe that building codes ought to be enforced just like other codes of law should be enforced. I believe in law and order.  I personally believe that violence is not going to settle our problems.  But I also believe that the same public official that took the responsibility to enforce the law also took the responsibility to see to it that the laws are just and that the inequities which exist in this society to the best of his ability shall be removed.,dem,1968,True,False
5483,1799_13,1799,13,"So let's be sure, as we go into this stretch, we step up our campaign, that we step it up and also that we don't do it just with the """"hip hip hooray"""" of a meeting, but that we recognize it's going to be won right down there, won or lost in the battleground.  They know  it.  They're going to pour in, without any question, hundreds of thousands of paid workers, in many instances.  I say hundreds of thousands.  That may be an exaggeration.  There certainly will be thousands of paid workers in some of the key industrial states.  They will be poured into this campaign.  We've got to combat them with volunteers, because that's all we have, but a good volunteer worker can always beat a paid worker, if he works, and so I say let's outwork them and outfight them in these last three weeks, and we'll win Arizona and the nation. ",rep,1960,False,False
23506,2035_20,2035,20,"I think that is a dangerous situation.  Time is running out andthere are superpowers that would be more than happy to spreadthese weapons amongst others if the arms race goes unhalted.  Everytime a nation gets these dangerous weapons, the level of danger israised.  One erratic response by an erratic leader or a leader thathas no judgment could precipitate a total nuclear confrontation. This is the issue above all others that will affect the lives ofchildren yet unborn and the young of this generation.",dem,1968,False,False
46841,2920_6,2920,6,"Foreign companies buying up real estate, buying up plants, buying up companies in this country.  Pretty soon, we're going to be tenants in our own county.  And what did we hear last night from that other fellow?  Hey, it's okay, he said.  Let them come over.",dem,1988,False,False
22447,2169_26,2169,26,"It is the court's duty to protect legitimate rights, but not to raise unreasonable obstacles to enforcement of the law. In my detailed program for freedom from fear issued during the primary campaigns last spring, I discussed many facets of what must be done in this critical area of national policy. It is true that law enforcement is primarily a local responsibility--but the public climate with regard to law is a function of national leadership. And so in this supplementary discussion I would like to cite just a few of the things our incoming administration will do to win the war against crime and disorder.",rep,1968,True,False
17255,2769_5,2769,5,"They honored old Franklin Roosevelt and Eleanor Roosevelt and Harry Truman. They even tried to honor my old friend Hubert Humphrey. And this president went all over the country saying, """"What a good friend I am of John Kennedy. He really brought out springtime for this country.""""",dem,1984,False,False
24708,2168_11,2168,11,"And as I look down to the end of this century, I know that this country is going to be in good hands as long as young Americans do care. I congratulate you. I am glad you are here, and now we will go to your questions and I will try to answer them. Thank you.",rep,1968,False,False
20240,2022_20,2022,20,"Then he says he is going to change the farm program. Well, they did it the last time they were in. They changed it to the cost of $3 billion to the American farmer. But he does not say how he is going to change it now.",dem,1968,False,False
60889,2004-11-01-remarks-milwaukee-wisconsin_47,2004-11-01-remarks-milwaukee-wisconsin,47,"My fellow citizens, these are historic times, and a lot is at stake in this election. The future safety and prosperity of America are on the ballot. Ultimately, this election comes down to, who do you trust? Who do you trust to defend the country?",rep,2004,False,False
64673,2004-10-02-discussion-mansfield-ohio_83,2004-10-02-discussion-mansfield-ohio,83,"Mr. McElligott. Well, property and casualty, but I do work with health care. The President. Yes. Anyway, he's the owner of a health savings account. Explain to people what that means.",rep,2004,True,False
62005,2004-11-01-new-mexico-3_8,2004-11-01-new-mexico-3,8,"The President. Thank you. I feel so incredibly optimistic about the future of our country. I see a brighter and more hopeful day for every American. One of my favorite sayings comes from a fellow Texan named Tom Lea. He was from El Paso, right across the line, I might add. He said, """"Sarah and I live on the east side of the mountain. It is the sunrise side, not the sunset side. It is the side to see the day that is coming, not to see the day that is gone."""" During the course of this campaign, my opponent has spent much of the time talking about the day that is gone. I'm talking about the day that's coming.",rep,2004,False,False
32926,2942_13,2942,13,"They want a new tax break for the wealthy; we want to open up the door of college opportunity to every young person in this country who's qualified to do college work. They want to help people who already have it made.  We want to help every American family make it in this country of ours, that's what this campaign's all about.",dem,1988,True,False
4806,1570_3,1570,3,"I am going to save this hat and if I get elected I will wear it in the inaugural parade. AGRICULTURE--GENERALHOUSING, LOW-INCOMESTEEL INDUSTRY",dem,1960,True,False
1504,1573_5,1573,5,"Mr. Nixon has said that when I say that some of these things could be better, that I am downgrading the United States.  I served it for 18 years.  I have the greatest confidence in the United States.  I am not satisfied to see it second best in any area of national and international life.  I want an America that is not first, if; not first, but; not first, when; but first, period, and I think we can do it.  I believe that this generation of Americans has the same rendezvous with destiny as that generation of Americans in 1936 to whom Franklin Roosevelt addressed those words, that that generation had a rendezvous with destiny.  I believe we do, too.  The rendezvous was the question of whether freedom could be maintained here in the United States.  Our destiny is to determine whether freedom can be maintained throughout the world, whether a house divided against itself can survive, whether a world can exist half slave and half free.",dem,1960,False,False
63469,2004-10-31-remarks-gainesville-florida_27,2004-10-31-remarks-gainesville-florida,27,"On these issues, my opponent and I are miles apart. He said he would only appoint judges who pass his liberal litmus test. He was part of an extreme minority that voted against the Defense of Marriage Act, and he voted against the ban on partial-birth abortion.",rep,2004,False,False
19251,2156_2,2156,2,"I like all of your wonderful signs. Some of them are quite original. """"Dump the Hump."""" Here is one over here that says, """"Trade Hubert for the Pueblo."""" I don't think North Korea would take him. I am sure the American people won't take him, with your help.",rep,1968,False,True
2476,3210_14,3210,14,"Thanks to a lot of the people who are in this room, we have been trying to do something about it for four years now. And after four years, as Don Payne said, we've got 10.5 million new jobs, 4.5 million new homeowners, a record number of new small businesses, including in every year record numbers of new businesses owned by women and minorities. We have for the first time since before the Civil War cut the deficit in each one of the four years of my presidency. And we did it without gutting Medicare, Medicaid, education, the environment, and our commitment to the proposition that everybody in this country is entitled to be treated fairly and justly.",dem,1996,False,False
70782,2004-09-09-convention-new-orleans_24,2004-09-09-convention-new-orleans,24,"You know, I used to be a prosecutor. I sent criminals to jail for murder and rape for the rest of their lives. But I also spent a lot of time talking to kids in trouble. There wasn't one of those kids I met who didn't come from a place of neglect, a background of abuse, poverty or violence. They are where they are because adults weren't able – or just weren't doing – what they should have been. We can't be a nation that abandons our children. Our promise will never be met until we stop being a nation content to spend $50,000 a year to keep a young person in prison for the rest of their life, when we could invest $10,000 to give them Head Start, Early Start, Smart Start, the best possible start in life.",dem,2004,False,False
70640,2004-10-20-waterloo-iowa-0_16,2004-10-20-waterloo-iowa-0,16,"But, with new leadership, a fresh start, and new credibility, I believe it can be done... because chaos in Iraq is as bad for our allies and Iraq's neighbors as it is for us. It's in their self-interest to prevent Iraq from becoming a permanent terrorist haven in the heart of the Middle East. First, we must show other countries that we have a clear strategy for success.",dem,2004,True,False
63724,2000-08-03-national-convention-0_33,2000-08-03-national-convention-0,33,"A generation shaped by Vietnam must remember the lessons of Vietnam: When America uses force in the world, the cause must be just, the goal must be clear, and the victory must be overwhelming. I will work to reduce nuclear weapons and nuclear tension in the world, to turn these years of influence into decades of peace. And at the earliest possible date, my administration will deploy missile defenses to guard against attack and blackmail.",rep,2000,True,False
2804,2873_14,2873,14,"And then, then just after we got our tax cuts, he said the most he could see was an anemic recovery. And that was right before the United States economy created more than six million new jobs in twenty-one months. My opponent said that decontrol of oil prices would cost you $36 billion. Well, that was one of the first things we did--we decontrolled oil prices. And the price of gasoline went down 8 cents a gallon.",rep,1984,True,False
10143,3002_33,3002,33,"But I ask you to commit yourself to forty-seven days of effort to claim your country's legacy; to hold up a future that will open up brightly before all of you. I look out on this crowd, and I see at least half of you are quite a bit younger than I am. You've got more of our future facing you than I do. You have everything on the line in this election.",dem,1992,True,False
16688,2580_11,2580,11,"The South suffered many generations from wages that were too low to finance the affairs and the needs of a family. I remember the first proposal for the minimum wage was for 25 cents an hour. The Democrats supported that minimum wage; the Republicans were against it. My first job as a high school senior was for the minimum wage of 40 cents an hour. The Democrats supported that minimum wage; the Republicans were against it. Now we have a sound minimum wage program in our country, and my Republican opponent says that there's been more hardship and suffering brought about by minimum wage than we got from the Great Depression. He also says that unemployment compensation, so vital to a nation when temporary unemployment comes, my opponent said that unemployment compensation is just a free paid vacation for freeloaders. This is the kind of attitude toward working people that's contrary to the basic concepts of the South and contrary to the basic concepts of our nation. And that's the kind of choice that will be made on November 4th by this nation.",dem,1980,False,False
18331,3099_8,3099,8,"When you see the young people that are here or any of the crowds across this country, I want to give our kids what they deserve, the best, the very best education in the entire world. I want every parent to have the freedom to choose the school of their choice, whether it's public, private, or religious schools. So these are just a part of what we call the agenda--",rep,1992,True,False
63597,2004-09-20-derry-new-hampshire_104,2004-09-20-derry-new-hampshire,104,The President. Good. Building things. That's good.,rep,2004,False,False
52745,2012-10-09-columbus-ohio-1_30,2012-10-09-columbus-ohio-1,30,"I believe we can create more jobs by controlling more of our own energy. And after 30 years of inaction, we raised fuel standards so that by the middle of the next decade, your cars and trucks will go twice as far on a gallon of gas. And today, the United States of America is less dependent on foreign oil than at any time in two decades.",dem,2012,False,False
50889,3208_21,3208,21,"And if--when people should not be in the classroom, the removal should occur fairly, but quickly, with less expense than it does today. But the main thing is, if we had a system that supported all teachers--not just in the best schools with the best principals, not just in the best school districts with the best system--if every community had parents and teachers and principals and community leaders working together and every community said, high standards yes, but people can meet these high standards if we'll get out there and support them, this will be a better country and we would have a better, better school system for all of our children. Today, I am directing the Secretary of Education to work with states and local school districts to follow up on these commission recommendations. I hope that some people here in Fresno will read this report. A lot of times, these reports are ignored, but this is a good one and it's worth reading.",dem,1996,True,False
14613,2025_17,2025,17,"Who is it that is for that family farmer, but said the other day--oh, he was in Iowa.  This is great.  I have to break my stride here, got to stop off and shake hands for a moment.  Mr. Nixon was down there giving a farm message in Iowa and he did something that no other candidate in this country is able to do.  He said he was going to plow a straight furrow with a corn picker.",dem,1968,False,False
31232,985_6,985,6,"The General said the Republican platform pledged extension of social security to millions not recently covered. He said he stands by that pledge. He wants you to believe the Republican party will make good on it. Well, the Republicans made the same pledge--the same promise--in their 1944 platform. But what happened? Two years later they gained control of the Eightieth Congress. They had a chance to make good on their promise. Did they make good? They not only did not fulfill that pledge--they actually took social security coverage away from more than a half million people.",dem,1952,False,False
27089,2004_12,2004,12,"So, I think that not only should I see that the other fellow gets a chance as good as mine but I think he ought to get a little better chance because he had to wait so long. You know, we talk a lot about equal opportunities and I talk about it a great deal.  Now, the fact of the matter is for our kids--let's talk about them and then I am going to yield this floor--sometimes when we get along in our age, kind of hard to change habits.  You know that.  But, I surely think that whatever we do we ought to be thinking about young people that are coming along and yet unborn and everything that we do as we plan a city, think of an industry, plan a program of education, not necessarily to have it how it meets our needs at your age and my age, how is it going to meet the needs of that child, that four-year-old, that six-year-old, that ten-year-old.  What kind of life are they going to have?",dem,1968,True,False
57183,2012-08-31-victory-rally-lakeland_10,2012-08-31-victory-rally-lakeland,10,"The record of contrast could not be more stark. As governor of Massachusetts, Mitt Romney worked across the aisle. He didn't demonize people on the other side of the aisle, and he balanced the budget without raising taxes. He lowered the unemployment rate. He increased household income. He improved the credit rating of Massachusetts.",rep,2012,False,False
70048,2016-08-12-arena-erie-pennsylvania_109,2016-08-12-arena-erie-pennsylvania,109,"So, here's the story, folks—folks. We have to win Pennsylvania. We have to beat this professional group of people that are running her for her own—for their own purposes. We have to win Pennsylvania. We win Pennsylvania, we're going to win it. You know, we're up in Florida. We're doing well in Ohio. And I'm hearing we're doing well here. We'll find out.",rep,2016,False,False
41847,924_20,924,20,"The fear of Communism is a real fear. We are confronted, at home and abroad, by a vast international conspiracy. We must, at home and abroad, take measures to protect ourselves. All loyal Americans know today that Communism is incompatible with American life. We have driven them out of any places of responsibility that they may have gained in our society. We will expose and identify them at every step along the way.",dem,1952,False,False
31424,2173_2,2173,2,"Four years of inflation under the policies of the present administration have depressed the real value of all the life insurance outstanding in America by an incredible $100 billion. This loss falls most heavily on those least able to afford it--the family living on a salary, the older person living on a pension, the family relying on insurance. By adopting sound taxing and spending policies, new leadership will insure the real value of the dollar invested in life insurance; new leadership must save the man who saves.",rep,1968,True,False
32219,2605_16,2605,16,"Agriculture is important to me. We've tried to get government's nose out of the free enterprise system of this country. Republicans have talked that way for generations, but with the help of your congressional delegation and others, we've finally done it. We have not only decontrolled the price of oil and gas, which every Republican president has always promised, and which will give us this year, in 1980, the largest number of oil and gas wells being drilled than any year in history, but the United States is also producing more coal this year than any year in history. And we can sell all the American coal we can transport to a port and load on a ship. There are ships in Hampton Roads, Virginia, right now, waiting twenty-five days to come alongside the pier and load. This is the result of a new energy policy, sound business principles, looking to the future, recognizing our natural resources, that a Democratic administration has put into effect. The Republicans have talked about it ever since many of us were born; the Democrats have finally done it.",dem,1980,False,False
37334,2203_5,2203,5,"In the next four years, my friends, as I analyze foreign policy, we will see a period in which we have the greatest danger of world war that could destroy the world, because in that next four years due to what I think was a mistake in American military policy the Soviet Union will acquire equality and perhaps superiority over the United States in certain critical areas. This does not necessarily mean there will be war. It does mean that the diplomacy requirements of the United States must be infinitely greater if we are to avoid it. Because what has kept the peace for the last twenty-five years has been the immense superiority that the United States has. The fact that President Eisenhower could speak with authority whenever he met with the other nations of the world, the fact that President Kennedy at the time of the Cuban confrontation knew that he had the immense edge that General Eisenhower left to him, that avoided world war at that time.",rep,1968,False,False
63993,2004-10-06-barre-pennsylvania-0_15,2004-10-06-barre-pennsylvania-0,15,My opponent and I have a very different view on how to grow our economy. Let me start with taxes. I have a record of reducing them. He has a record of raising them.,rep,2004,False,False
39426,2338_15,2338,15,"I have done, as you all know, a lot of campaigning.  If I haven't been in your town it is because probably only that it was not there in 1952 or '56 or '60, not only in those years but in '54, '58, '66.  We covered a lot of them, too.  I can tell you that I know as a candidate, sure the speeches are important, and the television we do is important, and how we handle the issues is important.  But what is really important is you, the party workers, the people who come from the ranks of labor, the people who come, who participate in politics, from any other group, but who get behind the candidate.",rep,1972,False,False
69260,2016-08-05-green-bay-wisconsin_4,2016-08-05-green-bay-wisconsin,4,"A disaster. She had a disaster. She lies folks, she lies badly.",rep,2016,False,False
14427,2018_15,2018,15,"Our farmers are the keystone of America's economic strength, and food will be a source of enormous export earnings in the 1970s and 1980s.  But today agriculture is still the weakest point in our free enterprise system. What ails agriculture?  We know the problems include low farm prices and inadequate income, high interest rates and a farm credit shortage, ever-increasing production costs that take the profit out of farming.",dem,1968,True,False
36871,2767_10,2767,10,"I intend to push forward with opportunity and open doors.  Don't they understand that when we eliminate discrimination, it's not something that """"we"""" do for """"them""""?  It's something that we do for each other.",dem,1984,False,False
24536,1850_18,1850,18,"I remember Khrushchev shaking his fist in my face and saying, """"Mr. Nixon, we're behind you now, but we're going to catch you in seven years."""" He doesn't have a chance if we just stay true to the principles that built these highways, that built these shopping centers, that built the greatest country that the world has ever seen. But, my friends, he will have a chance to catch us if we turn to policies that would stunt the initiative of the American people, that would say, """"Oh, people can't do things. We've got to turn everything over to Washington. We don't believe in the individual. We're afraid they haven't the responsibility."""" Listen, it's that kind of policy that we left in 1953 and it's that kind, my friends, that would allow him to catch us, and we're not going to do it. We're not going to do it because Americans know the way into the bright future.",rep,1960,False,True
64715,2004-10-01-remarks-allentown-pennsylvania_2,2004-10-01-remarks-allentown-pennsylvania,2,The President. Thank you all for coming. It's—what a beautiful day to be here in the Lehigh Valley. It's great to be back in Allentown. It's a wonderful place to come after a debate.,rep,2004,False,False
45566,3020_33,3020,33,"In Central and South America, the democratic revolution has won the first round, but our efforts to strengthen the fragile democracies in this hemisphere are still directed too much toward the central government and the wealthy. We should do more to support those struggling to establish grassroots democracy in South America and to strengthen the courageous small entrepreneurs who are burdened by corruption and bloated bureaucracy. We have a particular democratic responsibility in our own hemisphere to help end the cycle of violence in Haiti; to help restore democracy to Peru, even as it struggles to end the murderous violence of the Shining Path. And to help Cuba's repressive regime join its communist cousins, to borrow a phrase, in the dustbin of history.",dem,1992,True,False
65481,2004-09-16-care-blaine-minnesota_44,2004-09-16-care-blaine-minnesota,44,"Ms. Metzer. We are protected, thank you. The President. Yes, see, that's important. You've got people who are ob-gyns who feel comfortable about practicing there because they're not going to get sued. It seems like if we're willing to extend legal liability to these health centers, we ought to be extending legal liability to private clinics and hospitals as well, so ob-gyns can do their job.",rep,2004,True,False
59686,2004-11-02-reporters-crawford-texas_10,2004-11-02-reporters-crawford-texas,10,"The President. Well, of course, these are the pundits—there are pundits and prognosticators like you all. You're doing a fabulous job of speculating what may happen. My hope, of course, is that this election ends tonight. I think it's very important for it to end tonight. The world watches our great democracy function. There would be nothing better for our system for the election to be conclusively over tonight so that—I think it's going to be—so I can go on and lead this country and bring people together, set an agenda, which will be to make sure America is secure, expand our prosperity, and move forward and bring Republicans and Democrats together.",rep,2004,False,False
29334,1137_6,1137,6,"Much of my life in the service of my country I have been forced to spend abroad.  It does one thing for you, ladies and gentlemen.  It makes certain that every time you come back you think more of this country.  If there is any veteran in this whole crowd who didn't have that same feeling when he came stemming into New York or San Francisco or Seattle or Norfolk, then I would be astonished because I have never yet met one who has not said, """"Well, one good thing a tour abroad does for you; it makes you understand how well worthwhile it is working here at home.""""",rep,1952,False,False
38728,2847_17,2847,17,"My opponent supported the grain embargo and spoke out for it often. He even questioned the patriotism of a senator from his own party when that senator called that embargo just what it was--unworkable and unfair. Now he seems to have changed his tune. He says he privately opposed the embargo--very privately. As a matter of fact, he has, in the last several months, claimed that he opposed a number of the administration's policies when he was vice president. But as Jody Powell, who was also in that administration, said, """"I guess I was out of the room every time it happened."""" ",rep,1984,False,False
53277,2012-11-01-green-bay-wisconsin_15,2012-11-01-green-bay-wisconsin,15,"For 8 years, we had a President who shared these beliefs. His name was Bill Clinton. When he was first elected, he asked the wealthiest Americans to pay a little more, so we could reduce the deficit and still make investments in things like education and training, science and research. And guess what? Plenty of folks who were running for Congress at the time said it would hurt the economy, that it would kill jobs. And if that argument sounds familiar, one of those candidates back then happens to be running for President right now. And it turns out their math was just as bad back then as it is today. Because by the end of Bill Clinton's second term, America had created 23 million new jobs, and incomes were up, and poverty was down. And our deficit became the biggest surplus in our history.",dem,2012,False,False
67236,2016-10-03-plaza-toledo-ohio_24,2016-10-03-plaza-toledo-ohio,24,"This is Trump to a T. He's taken corporate excess and makes a business model out of it. He abuses his power, games the system, puts his own interests ahead of the country's. It's Trump first and everyone else last. And there are lots of principled, law-abiding business leaders out there who are horrified by all of this. Not a single – not a single CEO of a Fortune 100 company supports Trump's campaign. Think about it. I've been endorsed by very successful people – Warren Buffett, Mike Bloomberg, Mark Cuban. I loved what Mark Cuban said when he endorsed me. He said, 'Look, I've been successful.' He actually is a real billionaire. And you know what? He used profit-sharing to help his employees, not bankruptcy to fire people. And when he sold his first company, he shared the profits with his employees, and 300 of them became millionaires. That's the kind of business practices I want to see more of in our country.",dem,2016,False,True
32835,2201_18,2201,18,"Welfare payments should be large enough to meet reasonable needs. Payments which fail to cover minimal living expenses serve only to further frustrate the poor. Yet, for those who can work, welfare payments should not be so large, or exist for so long, that they in effect constitute a guaranteed income. Such a system only moves people away from self-sufficiency, and toward permanent dependence.",rep,1968,False,False
